"HC","CO","NOX"
0.41,7.24,0.72
0.28,1.91,1.25
0.04,5.88,1.14
0.43,5.34,1.02
0.53,9.4,1.35
0.31,8.06,1.56
0.5,10.32,1.02
0.62,11.64,1.46
0.45,3.82,1.09
0.45,6.18,1.1
0.25,2.32,1.27
0.25,9.34,0.84
0.35,3.99,1.34
0.41,4.46,1.57
0.49,9.05,0.67
0.39,7.04,1.17
0.12,10.35,1.51
0.41,8.82,0.79
0.52,12.2,0.75
0.58,10.65,0.87
0.53,9.29,0.72
0.45,6.26,1.51
0.42,5.52,1.53
0.73,12.85,1.13
0.45,4.76,1.32
0.41,8.24,0.33
0.41,2.16,2.21
0.42,4.44,1.35
0.56,11.27,1
0.44,6.19,1.33
0.08,8.13,0.78
0.52,11.27,0.95
0.45,7.7,1.22
0.35,5.24,1.56
0.54,16.09,0.15
0.19,1.11,1.78
0.66,13.9,0.94
0.67,14.41,0.79
0.73,15.92,1.35
0.27,4.05,0.62
0.45,6.77,1.13
0.73,15.36,0.31
0.29,9.75,1.74
0.33,4.14,1.3
0.16,8.98,1.4
0.4,6.94,1.21
0.57,15.14,0.18
0.17,1.98,1.62
0.34,6.63,1.05
0.26,2.64,2.21
0.46,4.53,1.3
0.71,17.83,0.21
0.28,8.01,1.82
0.45,4.49,1.9
0.39,6.07,1.04
0.32,2.41,1.03
0.21,4.22,1.2
0.45,3.69,1.71
0.43,2.17,0.95
0.42,5.85,1.25
0.27,3.2,1.25
0.3,6.26,0.48
0.37,4.66,0.79
0.48,6.91,0.49
0.31,6.62,0.75
0.39,8.25,1.47
0.83,19.37,0.03
0.35,2.82,2
0.25,1.33,0.68
0.34,5.55,0.76
0.61,11.81,0.42
0.14,7.85,1.71
0.3,4.09,1.9
0.45,6.46,1.92
0.27,2.6,0.97
0.19,0.05,1.07
0.57,9.78,0.41
0.3,4.37,0.76
0.18,8.19,1.36
0.52,6.5,0.76
0.4,5.09,0.91
0.11,9.58,1.37
0.42,8.9,1.11
0.49,3.99,1.35
0.61,10.1,1.22
0.09,1.65,0.73
0.37,7.15,0.61
0.62,13.01,1.05
0.38,4.11,1.26
0.35,4.71,1.21
0.34,4.58,0.53
0.51,7.72,1.6
0.29,1.28,0.88
0.32,6.15,1.27
0.14,3.12,1.12
0.39,2.29,1.85
0.28,1.47,1.69
0.39,4.38,1.08
0.17,6.05,1.4
0.38,6.51,1.17
