"HC","CO","NOX"
0.57,11.43,1.02
0.28,2.33,1.79
0.26,3.12,1.31
0.12,5.47,1.19
0.57,8.01,1.12
0.34,5.25,1.01
0.4,2.97,1.76
0.3,2.7,1.94
0.17,9.54,1.51
0.37,7.87,2.12
0.63,10.16,1.16
0.51,10.63,0.55
0.74,14.65,0.93
0.35,5.17,1.26
0.43,8.44,0.43
0.15,5.82,1.86
0.34,5.19,1.87
0.36,2.77,1.44
0.65,10.96,0.71
0.38,1.08,0.81
0.27,3.88,0.65
0.48,9.3,0.77
0.38,7.59,0.95
0.53,13.26,0.49
0.05,5.79,1.76
0.32,5.99,0.75
0.25,2.45,1.42
0.61,12.25,0.81
0.36,1.35,1.21
0.32,5.33,0.55
0.53,10.46,0.97
0.48,3.65,1.5
0.46,7.7,0.87
0.63,8.85,0.97
0.41,7.55,0.89
0.39,5.38,1.4
0.64,15.81,1.31
0.37,4.28,1.01
0.58,12.18,0.35
0.37,5.68,1
0.38,7.98,1.11
0.53,8.09,0.93
0.42,10.9,0.48
0.34,7.54,0.76
0.43,1.6,1.88
0.26,4.04,0.64
0.55,7.11,1.11
0.4,9.23,0.74
0.32,3.46,1.3
0.04,1.4,0.98
0.48,8.57,0.81
0.55,10.68,0.56
0.52,7.74,1.36
0.54,9.94,1.17
0.43,5.31,0.87
0.22,5.58,0.4
0.2,10.81,1.74
0.17,8.32,0.66
0.44,6.45,0.86
0.62,10.86,0.67
0.74,10.4,1.9
0.39,5.54,0.45
0.43,7.39,1.32
0.48,3.65,1.24
0.39,5.04,1.03
0.2,5.62,1.24
0.66,8.96,1.16
0.35,1.88,1.27
0.46,5.52,1.35
0.38,2.16,1.17
0.75,14.31,0.32
0.57,11.27,0.36
0.31,1.74,0.74
0.38,6.72,1.87
0.55,12.97,0.84
0.25,6.9,1.79
0.36,3.88,1
0.39,3.38,1.23
0.28,4.8,0.84
0.57,8.08,2.06
0.54,13.94,1.08
0.58,16.06,0.33
0.58,12.5,0.42
0.64,8.59,1.63
0.25,2.59,1.82
0.5,6.84,1.26
0.29,4.85,0.74
0.57,10.19,0.85
0.17,0.94,1.36
0.62,13.05,0.27
0.36,3.26,1.17
0.52,8.29,0.77
0.51,11.42,0.36
0.34,9.08,0.75
0.23,3.1,1.08
0.29,3.38,1.21
0.26,6.14,0.13
0.48,12.02,0.82
0.5,9.16,0.89
0.72,11.58,0.11
