"HC","CO","NOX"
0.61,8.82,0.95
0.28,7.84,2.02
0.6,13.61,0.66
0.1,7.92,1.55
0.48,9.19,0.97
0.28,4.24,1.05
0.22,8.65,2.24
0.35,4.38,0.84
0.59,9.32,0.44
0.27,7.96,1.55
0.46,5.27,1.41
0.3,6.41,1.83
0.72,14.62,0.65
0.08,9.68,1.35
0.5,6.73,1.25
0.3,2.07,1.55
0.27,6.13,2.19
0.32,3.35,0.78
0.74,14.39,1.13
0.48,8.97,0.8
0.33,5.8,1.54
0.16,0.99,0.69
0.44,7.3,1.28
0.27,3.88,1.14
0.5,8.43,1.12
0.4,7.12,0.82
0.19,5.68,1.89
0.41,8.11,1.09
0.38,8.27,0.72
0.53,13.12,1.02
0.26,2.25,1.38
0.31,0.05,1.31
0.47,7.49,1.68
0.4,4.54,0.87
0.61,12.48,0.02
0.22,3.48,0.93
0.18,0.24,1.18
0.38,5.37,1.76
0.17,7.93,1.79
0.32,7.86,0.93
0.44,8.76,1.02
0.19,7.51,1.58
0.52,7.74,0.86
0.58,10.82,0.88
0.3,8.43,1.62
0.35,6.85,1.29
0.62,14.23,0.47
0.36,1.44,0.91
0.24,0.64,0.95
0.14,7.31,1.99
0.33,3.63,1.52
0.4,5.9,1.03
0.57,8.18,0.83
0.38,1.21,1.46
0.24,9.42,2.07
0.4,5.57,0.96
0.39,4.1,0.98
0.42,5.25,0.67
0.55,12.9,1
0.34,2.05,1.59
0.25,8.08,1.22
0.5,10.33,0.46
0.34,4.18,1.4
0.58,14.24,0.24
0.46,2.96,1.22
0.48,8.97,1.22
0.38,3.54,1.61
0.53,12.1,0.82
0.51,6.11,1.3
0.18,3.07,1.03
0.42,7.88,0.79
0.61,11.03,0.43
0.64,14.05,0.93
0.47,9.68,1.1
0.43,3.3,1.85
0.3,5.33,0.98
0.56,6.16,0.38
0.2,1.51,1.91
0.39,7.39,0.05
0.05,7,1.34
0.39,6.32,0.62
0.43,7.58,1.07
0.37,5.48,1.1
0.31,3.42,0.79
0.46,11.54,1.26
0.01,8.79,1.9
0.32,2.76,1.35
0.23,5.34,1.44
0.3,3.29,1.63
0.34,6.44,1.03
0.49,11.94,0.9
0.51,10.47,0.29
0.66,5.54,2.67
0.36,6.21,1.14
0.53,8.5,1.07
0.71,15.66,1.29
0.31,5.46,1.25
0.4,3.3,0.71
0.5,7.95,1
0.44,7.78,0.78
