"year","faculty","sex","survive","total"
1938,"M","M",15,29
1939,"M","M",9,17
1940,"M","M",10,16
1941,"M","M",13,29
1942,"M","M",35,61
1943,"M","M",15,21
1944,"M","M",17,29
1945,"M","M",15,17
1946,"M","M",30,46
1947,"M","M",26,40
1938,"A","M",22,32
1939,"A","M",9,16
1940,"A","M",12,21
1941,"A","M",8,14
1942,"A","M",8,12
1943,"A","M",9,25
1944,"A","M",10,12
1945,"A","M",6,7
1946,"A","M",0,0
1947,"A","M",9,11
1938,"S","M",5,9
1939,"S","M",11,12
1940,"S","M",15,21
1941,"S","M",15,16
1942,"S","M",20,26
1943,"S","M",23,28
1944,"S","M",16,20
1945,"S","M",26,37
1946,"S","M",5,8
1947,"S","M",32,39
1938,"E","M",13,17
1939,"E","M",7,7
1940,"E","M",11,16
1941,"E","M",9,12
1942,"E","M",5,5
1943,"E","M",2,3
1944,"E","M",16,22
1945,"E","M",17,27
1946,"E","M",0,0
1947,"E","M",28,35
1938,"A","F",17,21
1939,"A","F",11,13
1940,"A","F",11,16
1941,"A","F",18,23
1942,"A","F",8,10
1943,"A","F",12,13
1944,"A","F",15,19
1945,"A","F",19,27
1946,"A","F",4,4
1947,"A","F",7,9
1938,"S","F",2,2
1939,"S","F",3,3
1940,"S","F",4,4
1941,"S","F",3,3
1942,"S","F",3,4
1943,"S","F",11,14
1944,"S","F",3,3
1945,"S","F",11,12
1946,"S","F",1,1
1947,"S","F",3,4
