"year","faculty","sex","survive","total"
1938,"M","M",8,22
1939,"M","M",9,24
1940,"M","M",9,20
1941,"M","M",16,24
1942,"M","M",30,41
1943,"M","M",16,26
1944,"M","M",25,39
1945,"M","M",11,15
1946,"M","M",17,33
1947,"M","M",19,35
1938,"A","M",23,45
1939,"A","M",14,25
1940,"A","M",12,18
1941,"A","M",4,7
1942,"A","M",4,9
1943,"A","M",8,15
1944,"A","M",7,10
1945,"A","M",8,9
1946,"A","M",0,0
1947,"A","M",20,25
1938,"S","M",11,13
1939,"S","M",11,13
1940,"S","M",18,21
1941,"S","M",9,12
1942,"S","M",19,25
1943,"S","M",15,23
1944,"S","M",23,29
1945,"S","M",26,40
1946,"S","M",6,8
1947,"S","M",20,24
1938,"E","M",14,17
1939,"E","M",4,5
1940,"E","M",12,17
1941,"E","M",8,11
1942,"E","M",3,3
1943,"E","M",1,1
1944,"E","M",16,20
1945,"E","M",22,28
1946,"E","M",0,0
1947,"E","M",16,25
1938,"A","F",11,15
1939,"A","F",8,9
1940,"A","F",17,21
1941,"A","F",12,15
1942,"A","F",6,8
1943,"A","F",16,20
1944,"A","F",16,19
1945,"A","F",18,22
1946,"A","F",1,1
1947,"A","F",17,22
1938,"S","F",1,2
1939,"S","F",1,1
1940,"S","F",5,5
1941,"S","F",2,3
1942,"S","F",4,5
1943,"S","F",7,9
1944,"S","F",3,4
1945,"S","F",15,19
1946,"S","F",3,3
1947,"S","F",9,10
