"HC","CO","NOX"
0.76,16.24,0.74
0.26,2.13,0.86
0.56,9.18,1.08
0.38,1.44,1.31
0.43,1.52,1.96
0.56,8.95,1.09
0.3,2.32,1.23
0.52,12.44,1.67
0.4,1.83,1.58
0.87,21.6,1.02
0.58,12.92,0.49
0.48,9.54,0.59
0.48,8.63,1.77
0.52,9.37,0.89
0.07,8.81,1.3
0.46,5.67,0.72
0.28,4.13,1.36
0.27,3.18,0.69
0.44,9.61,1
0.28,5.04,0.86
0.15,7.8,1.46
0.26,1.12,1.98
0.22,5.9,1.66
0.49,11.08,0.36
0.67,14.19,0.65
0.19,8.46,1.05
0.17,8.69,1.58
0.36,7.77,0.7
0.28,2.95,1.25
0.25,2.33,1.35
0.74,17.49,1.04
0.48,8.19,1.08
0.4,2.95,1.45
0.4,9.46,0.69
0.03,9.64,1.2
0.43,8.55,0.76
0.34,4.29,1.16
0.38,7.65,0.44
0.2,0.95,1.17
0.44,6.9,1.49
0.6,13.69,0.7
0.38,5.85,1.3
0.24,4.58,1.72
0.11,8.54,1.78
0.57,11.71,0.3
0.43,6.56,1.6
0.41,11.84,0.82
0.3,3.3,1.42
0.43,4.59,1.34
0.3,0.15,1.8
0.47,7.18,1.18
0.19,7.75,1.09
0.69,13.91,0.94
0.36,5.6,1.2
0.39,8.95,0.34
0.31,4.57,1.01
0.56,10.3,0.95
0.27,3.84,1.39
0.68,13.62,0.72
0.37,6.45,1.01
0.23,5.55,1.11
0.48,5.41,1.12
0.32,6.22,1.22
0.42,5.77,0.66
0.48,6.85,0.58
0.48,10.01,1.25
0.61,14.46,0.48
0.5,10.96,1.93
0.15,0.82,1.27
0.04,6.76,1.56
0.46,6.95,1.15
0.33,8.62,1.16
0.28,0.6,1.58
0.06,12.93,2.01
0.3,2.26,1.48
0.55,10.32,0.82
0.3,0.75,2.11
0.51,14.64,0.01
0.52,7.98,1.04
0.37,3.9,1.37
0.41,4.37,1.35
0.38,2.87,1.36
0.41,4.61,0.66
0.66,14.6,0.52
0.33,5.34,1.55
0.33,2.34,1.51
0.27,4.52,1.26
0.41,7.73,0.91
0.81,19.09,1.88
0.43,6.13,0.82
0.59,9.08,1.04
0.4,4.71,1.25
0.73,11.91,1.76
0.08,6.85,1.17
0.52,5.08,1.54
0.42,7.19,0.98
0.09,8.04,2.38
0.71,15.81,0.1
0.38,3.51,1.79
0.42,9.94,0.66
