"year","faculty","sex","survive","total"
1938,"M","M",10,20
1939,"M","M",17,26
1940,"M","M",9,12
1941,"M","M",11,18
1942,"M","M",24,40
1943,"M","M",5,15
1944,"M","M",22,38
1945,"M","M",14,18
1946,"M","M",22,30
1947,"M","M",20,29
1938,"A","M",25,39
1939,"A","M",11,24
1940,"A","M",16,23
1941,"A","M",8,13
1942,"A","M",4,6
1943,"A","M",9,12
1944,"A","M",4,8
1945,"A","M",6,11
1946,"A","M",0,0
1947,"A","M",6,14
1938,"S","M",18,19
1939,"S","M",11,12
1940,"S","M",11,20
1941,"S","M",14,19
1942,"S","M",14,19
1943,"S","M",16,22
1944,"S","M",26,31
1945,"S","M",23,38
1946,"S","M",4,7
1947,"S","M",28,35
1938,"E","M",7,17
1939,"E","M",9,11
1940,"E","M",5,11
1941,"E","M",6,8
1942,"E","M",6,6
1943,"E","M",6,6
1944,"E","M",21,28
1945,"E","M",25,32
1946,"E","M",0,0
1947,"E","M",27,34
1938,"A","F",22,23
1939,"A","F",11,17
1940,"A","F",8,11
1941,"A","F",20,25
1942,"A","F",4,6
1943,"A","F",12,16
1944,"A","F",17,22
1945,"A","F",16,20
1946,"A","F",1,2
1947,"A","F",9,12
1938,"S","F",1,1
1939,"S","F",3,5
1940,"S","F",10,12
1941,"S","F",4,4
1942,"S","F",5,5
1943,"S","F",8,10
1944,"S","F",1,1
1945,"S","F",12,14
1946,"S","F",2,2
1947,"S","F",10,11
