"year","faculty","sex","survive","total"
1938,"M","M",8,13
1939,"M","M",18,23
1940,"M","M",10,17
1941,"M","M",17,29
1942,"M","M",24,42
1943,"M","M",16,22
1944,"M","M",21,32
1945,"M","M",14,21
1946,"M","M",24,44
1947,"M","M",30,37
1938,"A","M",22,40
1939,"A","M",10,21
1940,"A","M",14,22
1941,"A","M",10,13
1942,"A","M",8,14
1943,"A","M",7,13
1944,"A","M",4,8
1945,"A","M",5,6
1946,"A","M",0,0
1947,"A","M",18,26
1938,"S","M",10,13
1939,"S","M",6,9
1940,"S","M",17,21
1941,"S","M",14,17
1942,"S","M",23,30
1943,"S","M",16,25
1944,"S","M",22,32
1945,"S","M",21,28
1946,"S","M",2,3
1947,"S","M",28,36
1938,"E","M",17,23
1939,"E","M",7,9
1940,"E","M",12,17
1941,"E","M",9,12
1942,"E","M",8,9
1943,"E","M",1,2
1944,"E","M",17,23
1945,"E","M",21,27
1946,"E","M",0,0
1947,"E","M",28,34
1938,"A","F",13,21
1939,"A","F",11,11
1940,"A","F",10,14
1941,"A","F",14,20
1942,"A","F",9,12
1943,"A","F",10,13
1944,"A","F",14,23
1945,"A","F",20,25
1946,"A","F",5,5
1947,"A","F",18,19
1938,"S","F",1,1
1939,"S","F",1,2
1940,"S","F",7,7
1941,"S","F",4,4
1942,"S","F",6,6
1943,"S","F",7,10
1944,"S","F",6,6
1945,"S","F",14,16
1946,"S","F",1,1
1947,"S","F",2,5
