"HC","CO","NOX"
0.26,3.22,1.81
0.41,9.96,1.02
0.44,8.52,0.82
0.52,9.97,1.18
0.39,6.39,1.25
0.47,11.43,0.8
0.72,14.63,0.71
0.39,5.7,0.53
0.38,4.01,1.51
0.17,2.47,1.34
0.31,6.01,1.51
0.12,5.66,1.43
0.41,10.25,0.2
0.78,13.17,0.28
0.41,8.76,0.57
0.54,12.28,0.58
0.43,6.95,1.56
0.18,3.29,0.71
0.47,1.91,1.79
0.49,9.76,0.49
0.22,1.31,2.07
0.41,6.48,1.59
0.3,4.93,0.51
0.5,9.49,1.37
0.62,13.75,0.74
0.7,10.5,1.11
0.32,2.85,1.58
0.64,14.03,0.6
0.51,10.2,0.25
0.6,10.8,1.14
0.7,15.29,0.67
0.35,5.41,0.84
0.54,12.85,0.67
0.2,2.74,1.3
0.49,8.56,1
0.27,1.42,1.41
0.4,4.97,0.83
0.4,6.65,0.82
0.56,11.34,0.64
0.25,6.79,1.9
0.35,6.55,0.97
0.42,7.54,0.95
0.56,12.36,0.96
0.51,11.99,0.4
0.35,7.5,1.27
0.29,2.81,1.1
0.56,7.76,1.02
0.43,4.31,1.57
0.33,1.48,1.54
0.48,9.31,0.89
0.53,9.19,0.86
0.35,3.11,0.96
0.37,1.5,1.56
0.4,4.37,0.86
0.43,7.73,1.03
0.33,8.57,0.87
0.49,9.69,0.59
0.8,14.85,0.86
0.85,18.94,0.53
0.12,5.65,1.81
0.56,13.2,0.71
0.19,0.13,1.92
0.52,7.48,1.8
0.42,6.05,1.75
0.29,1.19,1.15
0.33,2.84,2.19
0.59,11.37,0.7
0.25,6.44,1.64
0.42,7.23,0.8
0.4,4.18,1.35
0.42,8.39,0.81
0.2,7.3,1.06
0.48,7.38,1.16
0.49,9.75,0.45
0.23,1.69,1.83
0.16,6.65,0.89
0.39,4.89,0.95
0.69,13.96,1
0.51,7.82,0.52
0.32,6.14,0.56
0.74,12.23,0.52
0.61,13.04,0.97
0.69,14.58,0.66
0.57,8.21,1.32
0.48,2.6,1.09
0.49,8.21,0.79
0.41,3.91,1.42
0.62,14.06,0.47
0.71,15.62,0.45
0.32,5.51,0.67
0.19,7.11,2.25
0.61,11.95,1.52
0.6,9.46,1.27
0.36,4.68,1.73
0.4,7.01,1.22
0.23,2.68,1.65
0.2,2.9,0.74
0.54,6.47,1.39
0.63,14.71,0.56
0.55,8.97,0.95
