"year","faculty","sex","survive","total"
1938,"M","M",15,19
1939,"M","M",15,28
1940,"M","M",11,18
1941,"M","M",16,28
1942,"M","M",29,52
1943,"M","M",8,22
1944,"M","M",23,36
1945,"M","M",11,12
1946,"M","M",25,34
1947,"M","M",28,38
1938,"A","M",17,28
1939,"A","M",6,12
1940,"A","M",16,25
1941,"A","M",8,11
1942,"A","M",4,8
1943,"A","M",12,27
1944,"A","M",8,12
1945,"A","M",9,14
1946,"A","M",0,0
1947,"A","M",20,31
1938,"S","M",11,15
1939,"S","M",13,15
1940,"S","M",13,18
1941,"S","M",7,10
1942,"S","M",22,27
1943,"S","M",13,20
1944,"S","M",20,27
1945,"S","M",27,41
1946,"S","M",4,4
1947,"S","M",20,24
1938,"E","M",11,16
1939,"E","M",4,4
1940,"E","M",14,18
1941,"E","M",7,9
1942,"E","M",2,2
1943,"E","M",1,1
1944,"E","M",13,18
1945,"E","M",17,27
1946,"E","M",0,0
1947,"E","M",31,39
1938,"A","F",19,27
1939,"A","F",9,11
1940,"A","F",17,20
1941,"A","F",14,14
1942,"A","F",3,6
1943,"A","F",7,11
1944,"A","F",13,18
1945,"A","F",11,13
1946,"A","F",1,1
1947,"A","F",11,12
1938,"S","F",1,1
1939,"S","F",2,3
1940,"S","F",6,7
1941,"S","F",4,4
1942,"S","F",3,4
1943,"S","F",7,7
1944,"S","F",9,11
1945,"S","F",12,16
1946,"S","F",2,2
1947,"S","F",5,5
