"HC","CO","NOX"
0.5,6.85,0.83
0.27,0.49,1.51
0.47,9.43,0.78
0.39,4.89,1.51
0.32,1.48,2.25
0.32,2.2,1.06
0.39,3.89,1.45
0.19,0.73,1.82
0.31,2.83,1.19
0.31,2.9,0.85
0.22,3.45,1.03
0.34,4.45,1.31
0.2,7.5,1.54
0.3,5.55,1.09
0.31,4.87,0.89
0.41,4.16,0.95
0.72,13.6,1.17
0.39,4.99,1.16
0.35,2.2,1.44
0.41,5.86,1.35
0.44,6.95,0.66
0.49,7.38,1.53
0.67,16.03,0.27
0.33,6.85,0.86
0.36,3.99,1.19
0.21,10.16,1.09
0.51,8.61,1.37
0.53,6.75,1.62
0.63,14.97,1.15
0.63,15.94,0.67
0.24,0.48,1.23
0.38,5.82,1.17
0.15,1.23,1.59
0.24,0.19,1.54
0.36,5.86,1.8
0.34,1.11,1.15
0.22,1.1,1.14
0.32,3.29,1.54
0.21,9.39,1.33
0.44,8.71,0.76
0.54,11.26,0.64
0.36,8.51,0.65
0.27,7.04,0.74
0.17,1.24,1.77
0.43,5.35,0.75
0.38,8.89,0.88
0.19,8.04,1.31
0.37,7.7,0.86
0.42,4.5,1.08
0.48,10.55,1.67
0.08,7,1.24
0.56,11.28,0.96
0.28,3.64,1.35
0.3,0.49,2.21
0.22,6.11,1.5
0.32,2.21,1.66
0.65,12.12,0.79
0.3,6.25,1.03
0.61,11.85,0.52
0.39,8.44,1.21
0.53,7.93,0.76
0.67,11.26,0.8
0.53,6.83,0.88
0.4,7.18,1.43
0.17,7.39,1.46
0.17,7.47,2.13
0.3,3.1,1.5
0.25,1,0.57
0.38,7.47,0.88
0.76,14.41,0.36
0.54,12.57,0.71
0.26,8.14,0.6
0.5,7.19,1.06
0.66,13.34,0.74
0.23,0.92,1.9
0.31,5.45,1.04
0.44,8.06,0.18
0.14,9.89,1.55
0.31,2.41,0.91
0.5,13.02,0.86
0.32,3.59,1.05
0.49,6.19,0.97
0.55,15.43,0.77
0.55,10,1.34
0.61,11.46,0.71
0.28,3.15,1.14
0.32,1.43,1.6
0.58,11.67,0.48
0.13,5.93,1.62
0.17,7.97,1.02
0.36,3.68,1.49
0.56,7.23,1.34
0.32,2.92,1.53
0.45,8.72,1.07
0.64,14.57,0.4
0.44,5.68,1.2
0.57,9.65,1.32
0.69,12.44,0.39
0.48,7.78,0.73
0.22,2.15,0.76
