"year","faculty","sex","survive","total"
1938,"M","M",8,16
1939,"M","M",14,21
1940,"M","M",8,17
1941,"M","M",17,31
1942,"M","M",26,44
1943,"M","M",14,22
1944,"M","M",27,41
1945,"M","M",13,18
1946,"M","M",32,45
1947,"M","M",23,32
1938,"A","M",12,22
1939,"A","M",14,19
1940,"A","M",18,26
1941,"A","M",6,12
1942,"A","M",10,14
1943,"A","M",18,27
1944,"A","M",5,6
1945,"A","M",7,15
1946,"A","M",0,0
1947,"A","M",8,19
1938,"S","M",9,13
1939,"S","M",7,10
1940,"S","M",18,23
1941,"S","M",8,13
1942,"S","M",22,26
1943,"S","M",18,22
1944,"S","M",23,33
1945,"S","M",32,47
1946,"S","M",6,7
1947,"S","M",36,47
1938,"E","M",16,20
1939,"E","M",10,10
1940,"E","M",8,9
1941,"E","M",8,12
1942,"E","M",6,6
1943,"E","M",4,6
1944,"E","M",11,20
1945,"E","M",20,25
1946,"E","M",0,0
1947,"E","M",25,31
1938,"A","F",14,19
1939,"A","F",17,21
1940,"A","F",9,14
1941,"A","F",20,25
1942,"A","F",5,7
1943,"A","F",12,12
1944,"A","F",8,13
1945,"A","F",13,15
1946,"A","F",2,2
1947,"A","F",6,9
1938,"S","F",1,1
1939,"S","F",2,2
1940,"S","F",9,11
1941,"S","F",1,2
1942,"S","F",4,6
1943,"S","F",8,8
1944,"S","F",8,9
1945,"S","F",15,17
1946,"S","F",2,2
1947,"S","F",9,9
