"HC","CO","NOX"
0.53,10.87,0.8
0.06,7.24,2.12
0.57,10.27,1.17
0.68,17.9,1.67
0.57,11.23,0.09
0.13,8.27,2.28
0.48,8.92,0.49
0.52,12.29,0.44
0.6,9.94,1.22
0.19,0.18,1
0.64,13.71,1.03
0.6,13.16,0.95
0.98,24.22,0.09
0.3,5.04,1.25
0.41,5.29,1
0.37,6.52,0.63
0.38,3.86,0.93
0.32,4.76,1.18
0.24,0.31,1.24
0.51,9.86,1.37
0.37,10.1,0.69
0.3,0.26,2.1
0.48,8.37,1.05
0.51,7.62,0.91
0.5,11.7,0.59
0.46,2.93,0.87
0.03,14.23,1.33
0.43,4.29,1.62
0.39,1.76,1.79
0.27,4.02,0.6
0.37,7.86,0.95
0.42,11.88,0.22
0.38,9.5,0.89
0.46,3.52,1.62
0.32,2.48,1.72
0.36,6.07,0.56
0.55,8.16,1
0.37,7,1.51
0.33,6.78,1.08
0.24,8.32,1.17
0.58,9.21,1.45
0.14,7.34,2.1
0.23,3.53,1.34
0.46,1.73,1.44
0.36,4.34,1.12
0.24,6.58,1.58
0.49,7.61,1.51
0.59,10.87,1.04
0.49,7.21,0.97
0.47,9.45,0.84
0.46,7.89,0.95
0.63,14.99,0.22
0.58,11.44,0.25
0.32,2.85,1.38
0.28,5.16,1.45
0.49,10.48,1.14
0.34,6.7,0.89
0.35,2.89,1.71
0.24,4.64,1.4
0.59,10.98,0.96
0.49,8.33,1.8
0.41,6.32,0.38
0.81,22.62,0.83
0.65,13.55,0.68
0.32,3.56,1.5
0.21,7.14,1.56
0.62,13.53,0.38
0.26,1.4,1.64
0.18,2.71,1.12
0.49,7.65,0.77
0.47,8.14,2.04
0.15,3.46,1.07
0.48,11.52,0.69
0.4,7.39,0.75
0.54,11.32,0.77
0.56,8.87,1
0.32,3.71,1.5
0.84,21.96,0.47
0.81,14.52,0.83
0.71,16.38,0.41
0.54,9.57,0.22
0.23,2.64,1.25
0.58,13.45,0.86
0.57,9.98,0.73
0.48,9.02,1.19
0.36,1.14,2
0.57,9.69,0.71
0.38,6.81,1.37
0.2,2.9,1.14
0.19,9.47,1.97
0.45,8.14,1.01
0.13,1.25,1.82
0.58,7.54,1.57
0.29,1.22,1.37
0.45,8.61,0.79
0.29,3.58,1.34
0.33,1.27,1.58
0.33,8.69,0.81
0.31,6.04,0.28
0.58,12.43,0.75
