"HC","CO","NOX"
0.35,4.62,0.84
0.05,5.51,1.53
0.24,8.69,1.25
0.79,18.36,0.28
0.52,11.13,1.15
0.3,4.91,1.48
0.63,9.87,0.83
0.33,2.95,1.82
0.39,5.1,1.11
0.12,9.41,1.75
0.27,3.35,1.28
0.49,4.98,1.69
0.35,2.44,1.54
0.51,9.73,0.78
0.48,13.72,0.71
0.52,9.95,0.83
0.22,0.16,1.25
0.33,3.39,0.88
0.69,14.47,0.81
0.19,0.02,1.16
0.33,5.45,0.93
0.38,3.11,1.71
0.25,1.97,1.12
0.33,2.05,1.54
0.53,12.01,0.23
0.51,4.05,0.97
0.54,9.75,0.74
0.37,6.42,1.1
0.2,2.72,1.21
0.59,11.04,0.91
0.32,4.41,1.09
0.49,9.77,0.37
0.29,9.32,1.6
0.38,6.53,0.77
0.35,4.86,1.43
0.24,5.13,0.71
0.5,10.79,1
0.46,6.3,1.57
0.33,3.86,1.46
0.32,1.01,2.28
0.47,6.61,1.08
0.51,9.67,1.35
0.49,11.21,0.72
0.57,11.38,0.5
0.15,7.81,1.75
0.2,2.3,1.7
0.32,3.17,1.43
0.4,9.76,0.86
0.38,1.71,2.17
0.2,6.28,2.2
0.55,8.93,0.54
0.6,9.2,0.81
0.56,8.8,1.05
0.34,0.89,1.19
0.28,1.67,2.03
0.45,9.99,1.09
0.41,7.81,1
0.55,13.94,1.26
0.62,10.78,1.09
0.27,5.3,1.01
0.19,5.47,1.53
0.52,10.03,1.08
0.4,7.44,0.79
0.13,6.61,2.06
0.52,10.75,0.8
0.43,2.75,1.59
0.67,16.24,0.26
0.55,12.71,0.73
0.51,12.81,0.75
0.26,2.7,1.52
0.44,8.91,0.75
0.02,8.43,2.83
0.52,8.17,0.94
0.36,2.95,1.58
0.39,5.83,0.54
0.87,18.84,0.56
0.33,4.39,1.08
0.76,17.06,0.74
0.35,3.24,1.09
0.2,7.25,1.48
0.26,9.26,1.66
0.03,7.48,2.35
0.31,6.02,1.08
0.37,5.81,0.63
0.5,4.29,1.43
0.39,5.89,0.37
0.53,11.9,0.39
0.45,6.93,1.02
0.3,5.52,0.59
0.28,1.34,1.78
0.33,2.87,1.62
0.19,7.05,1.87
0.32,4.78,1.25
0.39,5.78,0.68
0.27,7.47,1.22
0.19,1.52,1.46
0.37,5.01,1.63
0.18,8.79,1.92
0.38,10.08,1.08
0.31,6.8,0.6
