"year","faculty","sex","survive","total"
1938,"M","M",9,16
1939,"M","M",15,26
1940,"M","M",8,15
1941,"M","M",18,22
1942,"M","M",32,53
1943,"M","M",16,26
1944,"M","M",24,33
1945,"M","M",12,18
1946,"M","M",26,39
1947,"M","M",20,41
1938,"A","M",12,25
1939,"A","M",10,19
1940,"A","M",18,24
1941,"A","M",4,11
1942,"A","M",6,8
1943,"A","M",9,17
1944,"A","M",4,11
1945,"A","M",4,7
1946,"A","M",0,0
1947,"A","M",11,18
1938,"S","M",10,15
1939,"S","M",3,7
1940,"S","M",21,25
1941,"S","M",11,16
1942,"S","M",26,34
1943,"S","M",10,10
1944,"S","M",25,34
1945,"S","M",28,36
1946,"S","M",3,5
1947,"S","M",21,28
1938,"E","M",10,12
1939,"E","M",11,13
1940,"E","M",18,23
1941,"E","M",4,8
1942,"E","M",3,4
1943,"E","M",2,2
1944,"E","M",19,21
1945,"E","M",18,24
1946,"E","M",0,0
1947,"E","M",26,38
1938,"A","F",13,18
1939,"A","F",10,11
1940,"A","F",8,15
1941,"A","F",14,21
1942,"A","F",3,5
1943,"A","F",12,12
1944,"A","F",24,26
1945,"A","F",18,23
1946,"A","F",1,1
1947,"A","F",8,11
1938,"S","F",2,2
1939,"S","F",1,2
1940,"S","F",3,7
1941,"S","F",1,2
1942,"S","F",2,3
1943,"S","F",6,8
1944,"S","F",3,3
1945,"S","F",7,8
1946,"S","F",2,3
1947,"S","F",9,9
