"year","faculty","sex","survive","total"
1938,"M","M",13,19
1939,"M","M",12,23
1940,"M","M",16,22
1941,"M","M",14,22
1942,"M","M",28,39
1943,"M","M",15,23
1944,"M","M",25,39
1945,"M","M",8,15
1946,"M","M",25,35
1947,"M","M",23,38
1938,"A","M",19,33
1939,"A","M",15,23
1940,"A","M",20,30
1941,"A","M",16,21
1942,"A","M",6,13
1943,"A","M",8,16
1944,"A","M",6,10
1945,"A","M",4,6
1946,"A","M",0,0
1947,"A","M",11,15
1938,"S","M",14,17
1939,"S","M",8,12
1940,"S","M",13,19
1941,"S","M",7,8
1942,"S","M",21,27
1943,"S","M",18,23
1944,"S","M",24,32
1945,"S","M",27,39
1946,"S","M",4,5
1947,"S","M",24,32
1938,"E","M",10,12
1939,"E","M",8,10
1940,"E","M",7,9
1941,"E","M",11,16
1942,"E","M",3,5
1943,"E","M",1,1
1944,"E","M",9,16
1945,"E","M",21,29
1946,"E","M",0,0
1947,"E","M",33,43
1938,"A","F",17,26
1939,"A","F",12,14
1940,"A","F",10,11
1941,"A","F",16,27
1942,"A","F",7,7
1943,"A","F",7,11
1944,"A","F",20,24
1945,"A","F",16,23
1946,"A","F",1,2
1947,"A","F",11,14
1938,"S","F",1,1
1939,"S","F",4,4
1940,"S","F",4,4
1941,"S","F",3,5
1942,"S","F",3,3
1943,"S","F",7,8
1944,"S","F",4,4
1945,"S","F",16,19
1946,"S","F",1,1
1947,"S","F",7,7
