"year","faculty","sex","survive","total"
1938,"M","M",17,25
1939,"M","M",17,23
1940,"M","M",8,20
1941,"M","M",13,29
1942,"M","M",38,63
1943,"M","M",18,22
1944,"M","M",16,25
1945,"M","M",10,15
1946,"M","M",20,31
1947,"M","M",20,27
1938,"A","M",27,44
1939,"A","M",17,21
1940,"A","M",14,24
1941,"A","M",6,13
1942,"A","M",10,13
1943,"A","M",11,21
1944,"A","M",6,11
1945,"A","M",10,15
1946,"A","M",0,0
1947,"A","M",13,22
1938,"S","M",8,9
1939,"S","M",9,14
1940,"S","M",17,22
1941,"S","M",9,16
1942,"S","M",15,21
1943,"S","M",7,15
1944,"S","M",19,26
1945,"S","M",32,44
1946,"S","M",4,4
1947,"S","M",24,27
1938,"E","M",24,28
1939,"E","M",10,13
1940,"E","M",9,10
1941,"E","M",4,10
1942,"E","M",5,7
1943,"E","M",1,1
1944,"E","M",19,25
1945,"E","M",12,21
1946,"E","M",0,0
1947,"E","M",23,28
1938,"A","F",10,17
1939,"A","F",12,16
1940,"A","F",8,11
1941,"A","F",17,20
1942,"A","F",5,8
1943,"A","F",9,13
1944,"A","F",18,22
1945,"A","F",15,15
1946,"A","F",1,2
1947,"A","F",19,22
1938,"S","F",1,2
1939,"S","F",1,1
1940,"S","F",6,8
1941,"S","F",1,2
1942,"S","F",3,3
1943,"S","F",8,8
1944,"S","F",3,3
1945,"S","F",16,19
1946,"S","F",1,1
1947,"S","F",9,9
