"year","faculty","sex","survive","total"
1938,"M","M",12,16
1939,"M","M",14,22
1940,"M","M",18,24
1941,"M","M",18,22
1942,"M","M",28,48
1943,"M","M",5,15
1944,"M","M",22,35
1945,"M","M",10,19
1946,"M","M",26,32
1947,"M","M",22,39
1938,"A","M",16,27
1939,"A","M",11,19
1940,"A","M",13,21
1941,"A","M",11,14
1942,"A","M",10,12
1943,"A","M",7,10
1944,"A","M",5,13
1945,"A","M",5,9
1946,"A","M",0,0
1947,"A","M",17,22
1938,"S","M",8,10
1939,"S","M",15,18
1940,"S","M",10,14
1941,"S","M",7,11
1942,"S","M",19,28
1943,"S","M",11,22
1944,"S","M",16,25
1945,"S","M",32,40
1946,"S","M",5,5
1947,"S","M",26,31
1938,"E","M",8,14
1939,"E","M",9,12
1940,"E","M",15,20
1941,"E","M",11,13
1942,"E","M",4,7
1943,"E","M",1,2
1944,"E","M",12,16
1945,"E","M",20,29
1946,"E","M",0,0
1947,"E","M",25,28
1938,"A","F",15,21
1939,"A","F",9,10
1940,"A","F",13,18
1941,"A","F",10,17
1942,"A","F",9,13
1943,"A","F",7,7
1944,"A","F",17,22
1945,"A","F",14,18
1946,"A","F",1,1
1947,"A","F",15,17
1938,"S","F",2,2
1939,"S","F",4,5
1940,"S","F",9,10
1941,"S","F",3,3
1942,"S","F",6,6
1943,"S","F",12,12
1944,"S","F",3,3
1945,"S","F",14,15
1946,"S","F",2,3
1947,"S","F",7,7
