"year","faculty","sex","survive","total"
1938,"M","M",12,22
1939,"M","M",11,17
1940,"M","M",5,9
1941,"M","M",13,24
1942,"M","M",33,62
1943,"M","M",22,30
1944,"M","M",21,32
1945,"M","M",8,16
1946,"M","M",26,38
1947,"M","M",33,50
1938,"A","M",20,35
1939,"A","M",14,25
1940,"A","M",14,23
1941,"A","M",10,15
1942,"A","M",9,14
1943,"A","M",8,14
1944,"A","M",7,9
1945,"A","M",8,11
1946,"A","M",0,0
1947,"A","M",19,27
1938,"S","M",9,12
1939,"S","M",10,13
1940,"S","M",13,15
1941,"S","M",7,11
1942,"S","M",16,20
1943,"S","M",16,20
1944,"S","M",18,28
1945,"S","M",33,43
1946,"S","M",3,4
1947,"S","M",23,36
1938,"E","M",9,13
1939,"E","M",5,10
1940,"E","M",12,15
1941,"E","M",5,5
1942,"E","M",5,7
1943,"E","M",2,2
1944,"E","M",16,21
1945,"E","M",17,20
1946,"E","M",0,0
1947,"E","M",19,26
1938,"A","F",11,15
1939,"A","F",11,14
1940,"A","F",10,15
1941,"A","F",20,26
1942,"A","F",7,11
1943,"A","F",10,13
1944,"A","F",16,22
1945,"A","F",17,20
1946,"A","F",2,2
1947,"A","F",12,16
1938,"S","F",3,4
1939,"S","F",2,2
1940,"S","F",5,5
1941,"S","F",4,5
1942,"S","F",4,5
1943,"S","F",7,7
1944,"S","F",8,8
1945,"S","F",14,17
1946,"S","F",1,1
1947,"S","F",6,6
