"year","faculty","sex","survive","total"
1938,"M","M",11,21
1939,"M","M",11,21
1940,"M","M",12,15
1941,"M","M",17,27
1942,"M","M",31,49
1943,"M","M",13,23
1944,"M","M",23,30
1945,"M","M",6,10
1946,"M","M",21,35
1947,"M","M",37,44
1938,"A","M",14,23
1939,"A","M",9,18
1940,"A","M",14,19
1941,"A","M",10,17
1942,"A","M",1,7
1943,"A","M",14,20
1944,"A","M",9,14
1945,"A","M",5,8
1946,"A","M",0,0
1947,"A","M",15,22
1938,"S","M",4,7
1939,"S","M",6,8
1940,"S","M",11,12
1941,"S","M",11,17
1942,"S","M",32,40
1943,"S","M",17,22
1944,"S","M",18,28
1945,"S","M",18,28
1946,"S","M",3,4
1947,"S","M",27,34
1938,"E","M",13,17
1939,"E","M",17,20
1940,"E","M",9,10
1941,"E","M",6,8
1942,"E","M",2,4
1943,"E","M",1,1
1944,"E","M",15,21
1945,"E","M",10,20
1946,"E","M",0,0
1947,"E","M",26,35
1938,"A","F",11,19
1939,"A","F",15,17
1940,"A","F",19,23
1941,"A","F",11,15
1942,"A","F",6,8
1943,"A","F",13,18
1944,"A","F",17,22
1945,"A","F",16,21
1946,"A","F",1,1
1947,"A","F",7,10
1938,"S","F",1,1
1939,"S","F",8,8
1940,"S","F",8,8
1941,"S","F",1,1
1942,"S","F",5,6
1943,"S","F",10,12
1944,"S","F",4,5
1945,"S","F",11,12
1946,"S","F",3,3
1947,"S","F",5,7
