"year","faculty","sex","survive","total"
1938,"M","M",9,13
1939,"M","M",20,31
1940,"M","M",17,23
1941,"M","M",25,32
1942,"M","M",29,46
1943,"M","M",13,22
1944,"M","M",22,31
1945,"M","M",10,14
1946,"M","M",22,31
1947,"M","M",14,25
1938,"A","M",23,35
1939,"A","M",9,18
1940,"A","M",14,25
1941,"A","M",6,17
1942,"A","M",7,12
1943,"A","M",15,17
1944,"A","M",6,9
1945,"A","M",7,11
1946,"A","M",0,0
1947,"A","M",12,15
1938,"S","M",14,19
1939,"S","M",8,15
1940,"S","M",15,22
1941,"S","M",16,17
1942,"S","M",16,23
1943,"S","M",19,25
1944,"S","M",25,34
1945,"S","M",36,42
1946,"S","M",3,3
1947,"S","M",21,29
1938,"E","M",7,8
1939,"E","M",9,12
1940,"E","M",11,16
1941,"E","M",4,5
1942,"E","M",11,12
1943,"E","M",1,1
1944,"E","M",13,21
1945,"E","M",16,25
1946,"E","M",0,0
1947,"E","M",31,39
1938,"A","F",16,22
1939,"A","F",7,9
1940,"A","F",12,15
1941,"A","F",15,26
1942,"A","F",6,6
1943,"A","F",8,9
1944,"A","F",17,19
1945,"A","F",14,16
1946,"A","F",2,2
1947,"A","F",8,13
1938,"S","F",1,1
1939,"S","F",4,4
1940,"S","F",8,8
1941,"S","F",3,4
1942,"S","F",5,6
1943,"S","F",13,15
1944,"S","F",2,2
1945,"S","F",8,9
1946,"S","F",1,2
1947,"S","F",5,5
