"year","faculty","sex","survive","total"
1938,"M","M",17,30
1939,"M","M",19,26
1940,"M","M",6,10
1941,"M","M",20,32
1942,"M","M",43,58
1943,"M","M",12,18
1944,"M","M",20,31
1945,"M","M",10,13
1946,"M","M",26,43
1947,"M","M",20,35
1938,"A","M",23,41
1939,"A","M",9,17
1940,"A","M",19,37
1941,"A","M",9,14
1942,"A","M",11,14
1943,"A","M",17,25
1944,"A","M",4,7
1945,"A","M",8,11
1946,"A","M",0,0
1947,"A","M",20,29
1938,"S","M",14,18
1939,"S","M",6,10
1940,"S","M",14,16
1941,"S","M",13,17
1942,"S","M",24,39
1943,"S","M",27,33
1944,"S","M",14,16
1945,"S","M",25,30
1946,"S","M",5,5
1947,"S","M",24,34
1938,"E","M",12,16
1939,"E","M",7,10
1940,"E","M",12,17
1941,"E","M",5,6
1942,"E","M",3,5
1943,"E","M",2,3
1944,"E","M",11,15
1945,"E","M",15,21
1946,"E","M",0,0
1947,"E","M",25,28
1938,"A","F",17,25
1939,"A","F",10,13
1940,"A","F",14,14
1941,"A","F",22,30
1942,"A","F",2,4
1943,"A","F",8,12
1944,"A","F",12,16
1945,"A","F",18,23
1946,"A","F",4,4
1947,"A","F",13,17
1938,"S","F",1,2
1939,"S","F",7,7
1940,"S","F",6,8
1941,"S","F",3,3
1942,"S","F",4,4
1943,"S","F",6,8
1944,"S","F",2,2
1945,"S","F",6,8
1946,"S","F",1,1
1947,"S","F",12,13
