"HC","CO","NOX"
0.64,10.26,1.15
0.12,11.16,1.89
0.6,13.87,0.51
0.4,4.03,1.79
0.54,8.05,1.23
0.08,8.51,1.98
0.41,9.36,1.04
0.37,4.83,0.86
0.27,9.11,0.99
0.44,4.66,1.69
0.61,10.59,0.82
0.1,7.48,1.31
0.46,3.2,1.12
0.19,0.77,1.3
0.41,3.7,0.86
0.4,5.31,0.98
0.17,1.88,1.24
0.34,4.07,1.5
0.5,12.15,0.83
0.57,9.32,1.15
0.53,10.48,0.99
0.8,16.72,1.01
0.76,12.4,1.3
0.53,13.18,0.53
0.49,9.99,0.6
0.37,5.62,1.5
0.16,1.47,1.17
0.51,8.46,1.58
0.3,1.84,1.11
0.89,23.21,1.53
0.66,14.88,0.44
0.45,9.3,0.94
0.87,19.69,1.38
0.31,0.76,0.92
0.29,1.31,1.27
0.61,8.77,0.78
0.4,3.84,1.13
0.55,10.6,0.46
0.49,11.86,0.45
0.33,6.58,0.93
0.24,3.88,1.15
0.35,3.15,1.53
0.6,12.43,0.72
0.13,7.82,1.18
0.44,7.03,1.48
0.29,8.7,0.85
0.21,5.31,1.13
0.38,8.65,1.24
0.55,9.51,1.18
0.53,10.21,0.82
0.55,8.95,0.85
0.67,14.19,0.72
0.4,11.26,0.75
0.59,12.76,0.57
0.34,2.83,1.2
0.28,6.68,1.66
0.31,4.58,0.68
0.38,2.47,0.78
0.45,3.46,1.71
0.34,3.41,1.48
0.35,1.61,0.96
0.62,12.11,1.19
0.25,3.23,1.27
0.29,5.31,0.49
0.24,1.06,0.81
0.48,7.98,1.03
0.07,9.12,1.57
0.2,5.39,1.1
0.34,3.15,1
0.52,9.68,0.81
0.22,4.22,0.86
0.32,1.4,1.05
0.4,9.08,1.33
0.36,0.45,1.63
0.55,4.88,1.42
0.45,6.78,0.87
0.56,8.15,0.77
0.34,5.31,0.97
0.33,4.1,0.62
0.45,7.36,1.27
0.58,11.87,1.1
0.35,4.92,0.93
0.28,4.21,1.32
0.48,5.6,0.6
0.29,2.74,1.3
0.48,7.36,1.24
0.24,8.04,1.77
0.4,6.89,0.63
0.42,7.37,1.56
0.62,15.42,0.3
0.27,0.7,1.94
0.39,4.95,0.65
0.27,3.48,1.4
0.51,3.26,0.9
0.23,3.96,1.03
0.18,6.43,1.86
0.36,4.47,0.9
0.45,7.92,1.28
0.47,7.54,1.24
0.45,5.41,0.82
