"HC","CO","NOX"
0.6,14.84,0.64
0.34,6.72,1.32
0.26,1.46,1.53
0.44,2.19,1.7
0.59,10.56,0.88
0.29,5.11,0.97
0.29,0.72,1.76
0.45,5.97,0.93
0.59,12.09,0.85
0.11,8.41,1.96
0.37,2.7,1.22
0.28,2.37,1.7
0.52,8.3,1.23
0.56,7.97,1.63
0.46,8.15,0.37
0.5,6.6,1.47
0.36,8.02,1.36
0.41,9.54,0.76
0.2,9,1.57
0.2,0.93,1.16
0.58,12.39,0.8
0.38,3.17,1.41
0.51,8.91,0.39
0.22,5.59,1.43
0.06,4.8,1.54
0.4,4.93,1.19
0.22,0.97,0.83
0.31,6.94,1.14
0.33,0.71,0.88
0.38,1.26,2.42
0.26,3.38,1.18
0.51,9.08,0.79
0.57,14.64,0.36
0.43,4.92,1.06
0.36,5.4,1.38
0.09,6.72,2.14
0.32,1.96,1.04
0.43,8.92,0.71
0.24,1.92,0.9
0.45,9.46,0.96
0.48,8.93,0.66
0.41,6.03,0.8
0.37,4.45,1.16
0.55,11.43,0.35
0.43,4.44,0.66
0.41,3.21,1.33
0.45,4.74,1.89
0.13,8.39,2.05
0.18,2.04,1.51
0.43,1.8,1.28
0.64,12.5,0.91
0.39,5.76,0.87
0.19,7.52,1.85
0.36,3.27,1.19
0.38,7.95,0.52
0.35,2.82,1.44
0.35,7.19,1.19
0.39,5.76,0.74
0.43,5.91,1.13
0.12,8.73,1.58
0.74,16.62,0.94
0.59,15.24,1.03
0.36,3.09,1.46
0.25,4.93,1.02
0.34,6.02,0.83
0.29,8.9,0.71
0.55,9.44,0.77
0.31,3.11,1.44
0.33,7.51,1.37
0.39,2.71,1.67
0.37,8.2,0.79
0.44,5.29,1.22
0.24,0.9,0.98
0.21,8.39,1.9
0.53,9.59,0.8
0.03,9.9,1.4
0.78,12.02,0.89
0.39,9.14,1.14
0.73,16.11,0.09
0.58,9.57,0.95
0.05,7.55,1.84
0.26,11.56,1.79
0.49,8.52,0.53
0.48,13.44,0.21
0.4,7.45,1.78
0.46,8.86,1.27
0.58,13.05,0.58
0.23,5.14,0.86
0.61,12.02,1.02
0.4,2.78,1.64
0.33,0.97,2.02
0.16,2.96,1.35
0.4,9.39,1.13
0.22,2.89,1.23
0.28,3.57,1.06
0.57,8.48,1.47
0.21,9.12,1.19
0.53,10.33,1.47
0.45,7.12,0.72
0.49,6.42,1.26
