"year","faculty","sex","survive","total"
1938,"M","M",16,25
1939,"M","M",16,29
1940,"M","M",10,18
1941,"M","M",16,28
1942,"M","M",27,49
1943,"M","M",20,27
1944,"M","M",18,24
1945,"M","M",9,16
1946,"M","M",22,33
1947,"M","M",25,36
1938,"A","M",14,33
1939,"A","M",13,21
1940,"A","M",16,24
1941,"A","M",8,14
1942,"A","M",8,13
1943,"A","M",18,27
1944,"A","M",2,7
1945,"A","M",8,13
1946,"A","M",0,0
1947,"A","M",19,26
1938,"S","M",10,13
1939,"S","M",18,21
1940,"S","M",14,19
1941,"S","M",12,17
1942,"S","M",20,28
1943,"S","M",17,25
1944,"S","M",19,28
1945,"S","M",21,33
1946,"S","M",4,5
1947,"S","M",14,20
1938,"E","M",8,12
1939,"E","M",6,9
1940,"E","M",2,6
1941,"E","M",9,11
1942,"E","M",5,6
1943,"E","M",2,2
1944,"E","M",19,25
1945,"E","M",19,24
1946,"E","M",0,0
1947,"E","M",15,23
1938,"A","F",10,14
1939,"A","F",15,18
1940,"A","F",13,19
1941,"A","F",23,27
1942,"A","F",1,3
1943,"A","F",11,17
1944,"A","F",17,23
1945,"A","F",13,21
1946,"A","F",2,2
1947,"A","F",10,11
1938,"S","F",1,2
1939,"S","F",1,2
1940,"S","F",4,4
1941,"S","F",2,2
1942,"S","F",7,8
1943,"S","F",9,10
1944,"S","F",5,6
1945,"S","F",14,15
1946,"S","F",2,2
1947,"S","F",6,6
