"HC","CO","NOX"
0.85,19.67,0.92
0.27,0.92,1.56
0.48,7.58,1.37
0.41,3.4,1.24
0.56,9.82,0.66
0.36,3.52,0.94
0.26,8.09,1.13
0.39,6.02,0.61
0.53,13.12,0.61
0.32,1.63,1.47
0.3,1.59,0.59
0.26,7.63,1.45
0.59,12.22,0.62
0.65,17.47,0.29
0.24,0.6,1.3
0.43,4.92,0.97
0.55,13.08,0.43
0.21,4.86,0.84
0.42,6.94,1.23
0.33,3.32,1.05
0.44,7.54,1.05
0.57,8.44,1.13
0.46,7.86,0.79
0.4,4.06,1.55
0.51,10.23,0.49
0.57,14.06,0.46
0.38,7.77,1.15
0.13,7.51,1.24
0.36,3.85,0.89
0.23,9.08,0.99
0.55,10.75,1.05
0.48,9.29,0.81
0.42,7.78,1.39
0.24,8.93,1.8
0.34,4.23,1.62
0.23,0.8,0.86
0.5,7.6,1
0.12,0.29,1.75
0.33,5.79,1.43
0.55,3.8,1.59
0.36,6.85,0.89
0.25,1.08,1.94
0.24,2.46,1.16
0.35,4.37,1.22
0.48,10.6,1.21
0.14,1.4,1.31
0.45,5.77,1.04
0.4,6.13,1.07
0.63,13.46,0.98
0.32,2.32,1.44
0.54,10.76,0.48
0.52,7.67,1.37
0.47,5.24,0.8
0.06,7.37,2.76
0.4,5.73,0.83
0.7,10.13,0.83
0.68,15.95,0.52
0.61,11.15,1.12
0.32,2.75,1.82
0.39,4.52,1.06
0.55,10.77,0.81
0.61,7.34,1.03
0.54,6.78,0.98
0.38,5.99,0.84
0.47,8.19,1.59
0.35,7.11,0.55
0.19,9.02,1.66
0.48,6.17,0.92
0.46,10.59,0.66
0.45,6.13,1.33
0.24,2.18,1.5
0.6,10.81,0.34
0.6,10.73,1.12
0.09,13.32,1.52
0.52,8.74,1.27
0.33,1.77,1
0.41,7.96,1.19
0.33,3.8,1.18
0.48,11.27,0.4
0.4,5.62,1.09
0.5,12.96,0.5
0.45,5.78,1.3
0.46,8.75,0.73
0.24,1.71,2.07
0.29,3.62,1.45
0.39,9.64,1.28
0.28,4.2,0.97
0.39,6.82,1
0.63,14.91,0.2
0.45,4.49,1.08
0.17,6.29,2.08
0.39,3.92,1.82
0.5,7.68,1.36
0.57,11.72,0.96
0.62,16,0.2
0.17,6.98,1.92
0.3,2.91,1.12
0.42,4.52,0.99
0.86,17.35,1.09
0.53,6.04,1.1
