"","rings","weight","length"
"1",17,20.8705634002475,129.445762998747
"2",8,30.5363074440864,93.0547218918196
"3",12,24.1373760212189,123.449437187445
"4",9,28.6588265825341,89.2631187991438
"5",13,32.9799280898923,120.055257891224
"6",10,24.8195342739654,109.141801309537
"7",3,5.79862063108345,34.1275954508314
"8",9,22.0409232746711,108.206927602323
"9",0,1.17606847263976,36.0300276569183
"10",3,5.25259814094955,85.7211550616597
"11",5,13.3182405029204,70.048406131776
"12",6,NA,97.1706070837299
"13",0,0.67874403081288,5.96080050618865
"14",8,18.8562888769649,77.8020406223391
"15",20,36.3782310855051,139.105644862208
"16",12,28.2117873919441,128.132505806974
"17",1,NA,43.0202261534755
"18",4,10.6727722072235,39.5159232806986
"19",2,4.77763895187618,44.611916351479
"20",7,13.6312050180919,76.2404484370147
"21",14,42.1548583157084,131.820492425416
"22",0,1.50854520479591,40.7472703460229
"23",6,15.8775969757083,96.4030931385046
"24",5,10.8101425876388,85.8469024105869
"25",11,22.4299003976362,118.518054086629
"26",0,1.87941806664134,17.1828734568473
"27",5,10.7096749832026,85.5352234214795
"28",0,1.2285251938805,36.1136119566133
"29",2,2.52643119817,76.5989191481745
"30",11,39.3114362055532,119.514232484944
"31",8,17.0953882157865,115.459283340325
"32",15,37.0861616409946,126.978023387915
"33",5,10.8235918077923,66.3162244953237
"34",9,21.472787075715,101.140848871495
"35",0,1.1383867360415,11.2344267992712
"36",5,12.151017848684,99.3689145798384
"37",2,3.37546076600407,43.9735279987155
"38",5,11.2924303979271,84.2372028083686
"39",12,32.6448179696775,120.148480283103
"40",9,20.7779745901704,108.371779926635
"41",3,6.83744085278386,62.3346362900455
"42",3,5.40028540754129,60.7786069959147
"43",12,29.9124624274068,130.10060474258
"44",4,10.1617910841798,83.6888441617442
"45",2,4.69468475409677,49.8156551951631
"46",19,30.2585549490288,138.471577530097
"47",6,12.1311026250179,91.9619291444235
"48",0,0.793422355580117,2.09557132586418
"49",3,6.6472837518294,53.038062081825
"50",4,7.4295930578847,69.3603679079674
"51",19,38.663716798582,136.997307460235
"52",11,22.6700210394061,109.239500025507
"53",3,4.1963005478256,73.1330259589567
"54",0,1.0939032063701,34.3264022741651
"55",6,13.6345395071666,98.4326807910126
"56",2,4.41780013917867,47.6555886641442
"57",2,4.94741370156525,39.1483207822811
"58",16,37.9315642571645,136.149627962382
"59",8,20.2764704829799,101.690405007008
"60",2,3.9086851001825,62.6198039175484
"61",10,26.6842439900304,116.579896663697
"62",4,6.04298997054441,60.4138424281899
"63",6,15.1380500426161,81.3286123687791
"64",7,NA,95.7486513935827
"65",11,24.8385448294635,108.272718058035
"66",13,28.2479701862428,121.44708103212
"67",7,18.7137588127903,100.13360926165
"68",4,6.65080601584177,76.507971389
"69",8,10.1556890205424,115.982197854681
"70",0,1.04096268802745,21.2216144929409
"71",16,35.2555912254098,129.323451065951
"72",1,1.906408424992,35.377432216833
"73",5,9.50569957242368,88.8168624140912
"74",6,14.1644907087124,80.7036890377992
"75",16,26.0154711157029,134.358514287912
"76",10,24.1887163077774,110.837660574876
"77",8,20.9389477387627,92.4385433444533
"78",8,17.1014768715411,118.06986965053
"79",7,16.6157449938965,106.970896150698
"80",2,4.21317396061262,68.6774971966909
"81",20,40.2070830256746,136.607566052128
"82",10,29.8530915650345,102.952167899113
"83",6,17.9346411127344,73.4125436818743
"84",11,32.0238288824646,110.522033134954
"85",5,16.5007500103823,65.7191567921082
"86",16,31.5721619781722,130.656082065236
"87",5,7.93156461586245,84.136663224048
"88",8,15.5622988558548,96.3387317977477
"89",16,29.002333163956,126.539565357444
"90",13,28.9661967971433,118.987936143412
"91",3,5.30943986753846,11.8384281026516
"92",8,20.4940227718013,109.593855063335
"93",8,14.6637891353257,90.3427682786439
"94",3,4.51147532166175,90.3472303672339
"95",8,14.6492618255088,86.564863695557
"96",0,1.43121407997362,24.4276501047345
"97",9,22.9574869614668,112.606421731517
"98",3,5.6344338127364,87.6940567818193
"99",1,0.973851375621155,36.7352124293849
