"year","faculty","sex","survive","total"
1938,"M","M",12,27
1939,"M","M",14,23
1940,"M","M",14,19
1941,"M","M",14,24
1942,"M","M",32,43
1943,"M","M",6,11
1944,"M","M",22,28
1945,"M","M",7,12
1946,"M","M",18,30
1947,"M","M",22,35
1938,"A","M",18,32
1939,"A","M",12,18
1940,"A","M",19,25
1941,"A","M",2,5
1942,"A","M",7,12
1943,"A","M",15,21
1944,"A","M",4,6
1945,"A","M",7,12
1946,"A","M",0,0
1947,"A","M",10,17
1938,"S","M",7,10
1939,"S","M",7,14
1940,"S","M",15,21
1941,"S","M",12,16
1942,"S","M",21,30
1943,"S","M",15,21
1944,"S","M",20,25
1945,"S","M",30,43
1946,"S","M",6,6
1947,"S","M",22,25
1938,"E","M",11,12
1939,"E","M",8,12
1940,"E","M",16,18
1941,"E","M",7,10
1942,"E","M",6,9
1943,"E","M",1,3
1944,"E","M",16,19
1945,"E","M",16,22
1946,"E","M",0,0
1947,"E","M",23,31
1938,"A","F",18,24
1939,"A","F",11,12
1940,"A","F",7,12
1941,"A","F",10,17
1942,"A","F",10,14
1943,"A","F",8,10
1944,"A","F",21,26
1945,"A","F",21,32
1946,"A","F",1,1
1947,"A","F",14,17
1938,"S","F",1,1
1939,"S","F",3,3
1940,"S","F",5,5
1941,"S","F",4,4
1942,"S","F",6,6
1943,"S","F",13,14
1944,"S","F",4,4
1945,"S","F",17,21
1946,"S","F",1,1
1947,"S","F",16,18
