"year","faculty","sex","survive","total"
1938,"M","M",14,24
1939,"M","M",14,21
1940,"M","M",14,19
1941,"M","M",17,29
1942,"M","M",39,56
1943,"M","M",18,21
1944,"M","M",26,37
1945,"M","M",11,21
1946,"M","M",16,32
1947,"M","M",21,39
1938,"A","M",15,34
1939,"A","M",11,18
1940,"A","M",15,25
1941,"A","M",7,12
1942,"A","M",4,10
1943,"A","M",10,20
1944,"A","M",5,10
1945,"A","M",4,7
1946,"A","M",0,0
1947,"A","M",17,20
1938,"S","M",8,15
1939,"S","M",6,8
1940,"S","M",12,20
1941,"S","M",14,16
1942,"S","M",15,20
1943,"S","M",16,21
1944,"S","M",20,24
1945,"S","M",20,32
1946,"S","M",1,2
1947,"S","M",29,35
1938,"E","M",11,14
1939,"E","M",10,11
1940,"E","M",9,15
1941,"E","M",4,5
1942,"E","M",6,7
1943,"E","M",3,3
1944,"E","M",19,26
1945,"E","M",17,26
1946,"E","M",0,0
1947,"E","M",29,37
1938,"A","F",17,22
1939,"A","F",13,17
1940,"A","F",13,17
1941,"A","F",20,26
1942,"A","F",6,12
1943,"A","F",7,8
1944,"A","F",7,9
1945,"A","F",25,32
1946,"A","F",1,1
1947,"A","F",8,11
1938,"S","F",1,2
1939,"S","F",5,5
1940,"S","F",2,4
1941,"S","F",3,3
1942,"S","F",2,2
1943,"S","F",9,11
1944,"S","F",4,4
1945,"S","F",13,15
1946,"S","F",1,1
1947,"S","F",3,4
