"year","faculty","sex","survive","total"
1938,"M","M",10,18
1939,"M","M",11,23
1940,"M","M",12,15
1941,"M","M",14,20
1942,"M","M",33,58
1943,"M","M",7,14
1944,"M","M",17,27
1945,"M","M",14,18
1946,"M","M",27,36
1947,"M","M",26,39
1938,"A","M",19,35
1939,"A","M",10,14
1940,"A","M",11,25
1941,"A","M",11,18
1942,"A","M",7,12
1943,"A","M",17,23
1944,"A","M",2,5
1945,"A","M",8,13
1946,"A","M",0,0
1947,"A","M",12,17
1938,"S","M",10,12
1939,"S","M",9,16
1940,"S","M",14,16
1941,"S","M",8,11
1942,"S","M",21,31
1943,"S","M",16,21
1944,"S","M",23,30
1945,"S","M",41,50
1946,"S","M",4,5
1947,"S","M",29,36
1938,"E","M",13,14
1939,"E","M",4,7
1940,"E","M",14,16
1941,"E","M",5,6
1942,"E","M",6,7
1943,"E","M",1,1
1944,"E","M",14,20
1945,"E","M",20,30
1946,"E","M",0,0
1947,"E","M",20,27
1938,"A","F",13,19
1939,"A","F",14,19
1940,"A","F",15,19
1941,"A","F",14,15
1942,"A","F",5,6
1943,"A","F",11,13
1944,"A","F",9,12
1945,"A","F",19,25
1946,"A","F",1,2
1947,"A","F",7,8
1938,"S","F",2,2
1939,"S","F",6,6
1940,"S","F",14,15
1941,"S","F",2,2
1942,"S","F",3,3
1943,"S","F",7,8
1944,"S","F",3,3
1945,"S","F",16,21
1946,"S","F",1,1
1947,"S","F",2,7
