"year","faculty","sex","survive","total"
1938,"M","M",18,25
1939,"M","M",12,18
1940,"M","M",3,8
1941,"M","M",24,39
1942,"M","M",31,55
1943,"M","M",10,17
1944,"M","M",25,32
1945,"M","M",9,12
1946,"M","M",17,32
1947,"M","M",31,45
1938,"A","M",14,25
1939,"A","M",13,20
1940,"A","M",17,29
1941,"A","M",16,20
1942,"A","M",11,13
1943,"A","M",9,16
1944,"A","M",4,9
1945,"A","M",6,11
1946,"A","M",0,0
1947,"A","M",12,19
1938,"S","M",8,14
1939,"S","M",5,12
1940,"S","M",18,21
1941,"S","M",12,17
1942,"S","M",14,20
1943,"S","M",20,26
1944,"S","M",17,20
1945,"S","M",39,48
1946,"S","M",3,4
1947,"S","M",18,23
1938,"E","M",10,12
1939,"E","M",14,18
1940,"E","M",10,12
1941,"E","M",6,8
1942,"E","M",3,8
1943,"E","M",2,2
1944,"E","M",16,23
1945,"E","M",16,22
1946,"E","M",0,0
1947,"E","M",26,32
1938,"A","F",15,19
1939,"A","F",15,17
1940,"A","F",11,14
1941,"A","F",15,20
1942,"A","F",7,11
1943,"A","F",11,13
1944,"A","F",14,19
1945,"A","F",19,23
1946,"A","F",2,2
1947,"A","F",13,15
1938,"S","F",2,2
1939,"S","F",5,5
1940,"S","F",6,8
1941,"S","F",1,1
1942,"S","F",1,1
1943,"S","F",10,13
1944,"S","F",3,4
1945,"S","F",17,18
1946,"S","F",1,1
1947,"S","F",11,12
