"HC","CO","NOX"
0.18,2.57,1.34
0.48,11.36,0.37
0.42,8.03,1.13
0.56,13.62,0.53
0.14,11.44,1.42
0.58,13.03,0.96
0.09,6.33,1.14
0.7,13.89,0.65
0.6,12.86,0.03
0.24,0.21,1.07
0.33,2.85,1.5
0.62,13.24,0.08
0.45,10.3,1.03
0.23,1.06,1.68
0.41,3.62,1.11
0.46,4.47,1.05
0.24,0.08,1.38
0.26,2.06,0.83
0.18,9.48,2.04
0.51,4.41,1.64
0.33,5.34,1.37
0.3,2.52,1.75
0.44,6.43,1.2
0.38,7.95,1.4
0.51,7,1.55
0.54,9.71,0.68
0.45,6.35,0.7
0.04,0.7,1.42
0.54,9.04,0.79
0.35,8.29,0.92
0.74,14.44,1.06
0.26,2.68,1.23
0.51,9.48,0.94
0.25,6.09,1.36
0.67,9.5,1.16
0.71,16.69,1.36
0.33,7.55,1.32
0.62,11.53,0.65
0.28,2.59,1.49
0.5,8.48,1.02
0.53,6.25,0.61
0.39,7.3,0.62
0.79,15.84,0.25
0.71,15.47,1.13
0.34,4.71,0.95
0.08,6.37,1.45
0.82,17.09,0.65
0.57,11.71,0.98
0.66,10.22,0.93
0.33,1.27,0.95
0.19,1.28,2.57
0.49,5.86,1.23
0.22,0.79,1.33
0.34,7.24,1.85
0.63,11.28,0.67
0.46,7.45,1.51
0.56,7.19,0.97
0.53,10.27,0.76
0.48,10.36,0.35
0.22,0.87,0.98
0.26,8.86,1.32
0.65,9.63,1.15
0.45,8.19,1.04
0.48,7.82,1.2
0.2,0.98,0.83
0.35,5.21,1.1
0.52,10.83,0.57
0.2,10.11,1.38
0.36,6.38,1.06
0.48,5.86,1.53
0.25,8.24,1.18
0.33,3.55,1.11
0.27,6.46,0.81
0.14,1.68,0.79
0.41,7.94,0.55
0.49,10.92,0.93
0.59,10.85,0.73
0.23,10.19,2.28
0.19,2.37,0.89
0.48,13.59,0.48
0.5,11.39,0.99
0.1,9.53,1.6
0.14,0.06,1.67
0.49,4.46,1.09
0.31,5.7,0.9
0,8.22,0.76
0.4,5.1,1.51
0.52,8.76,0.75
0.51,7.39,1.12
0.68,13.02,1.13
0.44,8.02,1.65
0.49,10.43,0.51
0.37,2.43,1.29
0.45,9.28,0.93
0.24,2.05,1.37
0.43,7.62,0.63
0.2,7.4,2.56
0.46,9.46,0.28
0.24,6.21,1.55
0.78,19.15,0.47
