"HC","CO","NOX"
0.4,7.98,0.36
0.44,2.86,1.19
0.61,7.59,1.24
0.38,6.37,1.31
0.52,8.98,0.97
0.47,10.97,0.55
0.24,0.07,1.4
0.47,11.9,0.94
0.26,2.3,1.51
0.42,2.49,1.51
0.45,8.49,0.79
0.38,9.57,0.08
0.47,6.11,0.95
0.3,8.74,1.59
0.26,2.33,1.04
0.59,12.38,1.03
0.15,9.14,1.36
0.34,3.55,1.27
0.61,8.45,0.96
0.25,3.73,0.85
0.44,6.01,0.41
0.48,9.19,0.8
0.25,4.74,0.98
0.4,6.96,0.68
0.53,14.86,0.46
0.55,9.95,0.2
0.51,9.68,0.96
0.25,2.34,1.58
0.31,5.47,1.11
0.41,5.81,1.08
0.46,7.44,1.06
0.35,2.83,1.37
0.44,10.4,2.36
0.55,7.13,1.17
0.46,9.42,0.98
0.22,8.65,1.59
0.49,9.11,1.53
0.43,5.29,1.68
0.44,6.45,1.42
0.31,5.7,1.04
0.32,4.16,0.7
0.47,4.91,0.32
0.32,4.69,1.11
0.55,11.25,0.87
0.45,8.19,0.74
0.35,5.59,1.64
0.45,6.02,0.71
0.18,10.94,1.99
0.21,0.91,0.84
0.23,7.77,1.41
0.48,8.09,0.63
0.25,1.8,2.16
0.65,7.09,1.58
0.27,0.85,1.36
0.61,12.94,0.44
0.28,2.09,1.18
0.54,8.56,1.22
0.3,1.42,0.87
0.67,12.2,0.94
0.4,6.1,0.75
0.58,11.08,0.87
0.2,14.32,2.15
0.15,1.36,1.4
0.02,6.18,1.34
0.46,3.39,1.15
0.38,8.99,0.24
0.4,6.68,0.79
0.32,1.91,1.27
0.09,8.01,1.31
0.35,4.26,1.49
0.47,8.73,0.95
0.39,5.77,1.17
0.41,5.32,1.12
0.37,3.15,1.42
0.39,9.43,1.2
0.61,11.48,0.53
0.57,11.51,0.54
0.42,10.21,0.99
0.54,11.05,0.98
0.12,10.05,1.88
0.73,19.81,1.28
0.46,7.67,1.04
0.42,5.89,1.14
0.46,10.38,0.58
0.11,1.04,1.12
0.52,7.96,0.7
0.29,2.7,1.05
0.37,2.59,0.55
0.05,8.9,1.5
0.56,6.63,1.12
0.17,5.79,0.93
0.47,8.57,1.1
0.25,4.02,1.47
0.37,1.73,1.7
0.6,14.4,0.55
0.33,6.54,0.55
0.61,14.31,0.14
0.22,2.08,1.2
0.1,6.54,1.73
0.41,4.13,1.49
