"year","faculty","sex","survive","total"
1938,"M","M",10,22
1939,"M","M",13,23
1940,"M","M",9,14
1941,"M","M",20,31
1942,"M","M",21,39
1943,"M","M",10,14
1944,"M","M",12,27
1945,"M","M",6,8
1946,"M","M",24,34
1947,"M","M",20,33
1938,"A","M",13,28
1939,"A","M",17,30
1940,"A","M",19,31
1941,"A","M",9,13
1942,"A","M",5,11
1943,"A","M",7,15
1944,"A","M",5,7
1945,"A","M",2,6
1946,"A","M",0,0
1947,"A","M",18,22
1938,"S","M",6,9
1939,"S","M",8,11
1940,"S","M",12,18
1941,"S","M",13,16
1942,"S","M",15,18
1943,"S","M",21,25
1944,"S","M",23,31
1945,"S","M",26,33
1946,"S","M",2,4
1947,"S","M",30,39
1938,"E","M",12,18
1939,"E","M",8,10
1940,"E","M",8,10
1941,"E","M",6,7
1942,"E","M",2,3
1943,"E","M",1,2
1944,"E","M",19,22
1945,"E","M",15,20
1946,"E","M",0,0
1947,"E","M",26,39
1938,"A","F",12,13
1939,"A","F",15,18
1940,"A","F",14,15
1941,"A","F",19,28
1942,"A","F",6,10
1943,"A","F",9,12
1944,"A","F",12,15
1945,"A","F",14,20
1946,"A","F",2,2
1947,"A","F",14,17
1938,"S","F",2,2
1939,"S","F",4,5
1940,"S","F",5,8
1941,"S","F",1,2
1942,"S","F",2,2
1943,"S","F",4,6
1944,"S","F",3,3
1945,"S","F",15,17
1946,"S","F",1,1
1947,"S","F",8,9
