"year","faculty","sex","survive","total"
1938,"M","M",10,20
1939,"M","M",20,27
1940,"M","M",8,16
1941,"M","M",12,21
1942,"M","M",37,59
1943,"M","M",14,20
1944,"M","M",22,40
1945,"M","M",13,15
1946,"M","M",20,37
1947,"M","M",42,54
1938,"A","M",23,32
1939,"A","M",8,14
1940,"A","M",13,19
1941,"A","M",10,13
1942,"A","M",4,12
1943,"A","M",9,14
1944,"A","M",6,11
1945,"A","M",10,14
1946,"A","M",0,0
1947,"A","M",14,23
1938,"S","M",6,11
1939,"S","M",13,16
1940,"S","M",11,15
1941,"S","M",15,22
1942,"S","M",18,29
1943,"S","M",12,19
1944,"S","M",23,25
1945,"S","M",34,42
1946,"S","M",3,3
1947,"S","M",35,41
1938,"E","M",16,19
1939,"E","M",11,13
1940,"E","M",8,10
1941,"E","M",11,15
1942,"E","M",5,9
1943,"E","M",1,2
1944,"E","M",8,14
1945,"E","M",23,26
1946,"E","M",0,0
1947,"E","M",19,26
1938,"A","F",10,13
1939,"A","F",14,17
1940,"A","F",12,17
1941,"A","F",11,20
1942,"A","F",6,8
1943,"A","F",14,16
1944,"A","F",20,24
1945,"A","F",15,21
1946,"A","F",2,2
1947,"A","F",10,10
1938,"S","F",1,1
1939,"S","F",2,2
1940,"S","F",5,5
1941,"S","F",6,7
1942,"S","F",6,6
1943,"S","F",9,9
1944,"S","F",5,6
1945,"S","F",15,16
1946,"S","F",2,2
1947,"S","F",8,10
