"year","faculty","sex","survive","total"
1938,"M","M",10,19
1939,"M","M",16,24
1940,"M","M",14,24
1941,"M","M",19,33
1942,"M","M",21,41
1943,"M","M",6,17
1944,"M","M",24,36
1945,"M","M",10,19
1946,"M","M",17,27
1947,"M","M",22,40
1938,"A","M",25,37
1939,"A","M",12,24
1940,"A","M",14,23
1941,"A","M",9,10
1942,"A","M",7,9
1943,"A","M",8,19
1944,"A","M",5,8
1945,"A","M",2,5
1946,"A","M",0,0
1947,"A","M",24,30
1938,"S","M",12,15
1939,"S","M",15,16
1940,"S","M",17,19
1941,"S","M",10,13
1942,"S","M",28,32
1943,"S","M",12,16
1944,"S","M",23,36
1945,"S","M",36,48
1946,"S","M",10,14
1947,"S","M",27,34
1938,"E","M",15,20
1939,"E","M",7,8
1940,"E","M",7,8
1941,"E","M",4,6
1942,"E","M",4,8
1943,"E","M",1,1
1944,"E","M",22,26
1945,"E","M",16,23
1946,"E","M",0,0
1947,"E","M",23,25
1938,"A","F",15,16
1939,"A","F",16,18
1940,"A","F",11,13
1941,"A","F",28,35
1942,"A","F",5,10
1943,"A","F",13,14
1944,"A","F",23,30
1945,"A","F",24,33
1946,"A","F",1,2
1947,"A","F",10,13
1938,"S","F",1,1
1939,"S","F",2,3
1940,"S","F",9,10
1941,"S","F",2,3
1942,"S","F",1,1
1943,"S","F",6,7
1944,"S","F",3,3
1945,"S","F",15,18
1946,"S","F",1,1
1947,"S","F",3,3
