"year","faculty","sex","survive","total"
1938,"M","M",17,23
1939,"M","M",16,26
1940,"M","M",17,24
1941,"M","M",18,25
1942,"M","M",28,46
1943,"M","M",12,20
1944,"M","M",18,32
1945,"M","M",8,16
1946,"M","M",30,38
1947,"M","M",28,38
1938,"A","M",16,25
1939,"A","M",11,14
1940,"A","M",17,26
1941,"A","M",4,5
1942,"A","M",5,11
1943,"A","M",10,16
1944,"A","M",7,11
1945,"A","M",3,7
1946,"A","M",0,0
1947,"A","M",21,33
1938,"S","M",15,16
1939,"S","M",14,16
1940,"S","M",19,27
1941,"S","M",8,15
1942,"S","M",19,32
1943,"S","M",19,25
1944,"S","M",21,34
1945,"S","M",32,41
1946,"S","M",3,3
1947,"S","M",23,29
1938,"E","M",9,13
1939,"E","M",7,8
1940,"E","M",11,13
1941,"E","M",5,6
1942,"E","M",4,6
1943,"E","M",5,6
1944,"E","M",13,20
1945,"E","M",25,32
1946,"E","M",0,0
1947,"E","M",33,44
1938,"A","F",15,18
1939,"A","F",21,25
1940,"A","F",8,13
1941,"A","F",16,21
1942,"A","F",7,11
1943,"A","F",8,10
1944,"A","F",20,26
1945,"A","F",17,20
1946,"A","F",1,1
1947,"A","F",10,14
1938,"S","F",1,1
1939,"S","F",2,3
1940,"S","F",6,6
1941,"S","F",2,2
1942,"S","F",1,1
1943,"S","F",7,7
1944,"S","F",4,4
1945,"S","F",13,14
1946,"S","F",2,2
1947,"S","F",2,3
