"HC","CO","NOX"
0.17,1.1,2
0.7,14.93,0.17
0.3,11.42,1.5
0.6,10.48,0.54
0.58,9.24,1.36
0.08,9.08,1.94
0.37,9.67,0.52
0.49,11.28,0.38
0.25,3.64,1.35
0.48,8.32,1.29
0.52,9.21,0.78
0.58,8.33,1.3
0.31,9.93,1.49
0.45,6.2,1.71
0.45,10.4,0.89
0.24,12.07,1.76
0.36,8.5,0.45
0.61,16.09,0.56
0.22,6.19,2.09
0.11,7.15,1.1
0.77,19.38,0.97
0.33,5.42,1.28
0.24,1.82,1.12
0.58,12.66,1.18
0.19,8.2,1.23
0.38,9.18,0.08
0.57,10,0.79
0.34,5.37,0.92
0.39,6.67,1.65
0.45,6.24,1.11
0.38,3.13,1.5
0.25,2.54,0.68
0.08,8.91,2.21
0.23,5.21,0.8
0.34,5.72,0.55
0.06,7.49,1.32
0.6,13.49,0.13
0.57,13.75,0.39
0.47,11.54,0.8
0.53,7.25,1.4
0.35,3.35,1.05
0.9,20.17,0.24
0.36,5,1.26
0.59,10.13,1.02
0.45,7.29,1.04
0.52,8.6,0.96
0.75,18.77,0.13
0.17,7.3,1.11
0.68,15.8,0.59
0.11,2.17,1.64
0.3,3.88,1.29
0.42,4.52,1.43
0.26,0.45,2.25
0.17,7.61,1.73
0.26,4.96,1.28
0.39,3.75,0.49
0.43,7.92,0.87
0.19,1.49,0.72
0.22,2.86,1.31
0.52,10.39,0.2
0.19,8.24,1.3
0.54,7.87,0.91
0.47,8.04,0.48
0.19,7.18,1.85
0.32,2.05,1.2
0.3,0.2,1.21
0.4,6.14,1.08
0.62,11.2,0.23
0.07,8.17,1.78
0.32,3.65,1.34
0.26,8.77,1.72
0.44,5.12,0.33
0.13,9.7,2.06
0.29,2.63,1.49
0.33,0.86,1.39
0.44,11.07,0.78
0.2,1.14,1.58
0.42,3.53,1.53
0.56,12.34,0.71
0.3,4.68,1.64
0.17,8.07,1.61
0.62,11.69,1.31
0.48,12.24,0.67
0.46,7.93,1.43
0.57,11.46,0.91
0.52,11.91,0.4
0.49,12.7,0.06
0.35,5.87,1.78
0.62,12.87,0.72
0.59,9.05,1.45
0.33,11.52,2.24
0.45,8.18,0.36
0.85,18.36,0.83
0.2,0.15,1.94
0.86,21.03,0.45
0.23,2.56,0.84
0.29,1.62,1.21
0.41,5.44,2.18
0.37,4,1.45
0.45,6.97,1.03
