"year","faculty","sex","survive","total"
1938,"M","M",16,30
1939,"M","M",24,33
1940,"M","M",9,13
1941,"M","M",15,26
1942,"M","M",27,55
1943,"M","M",16,23
1944,"M","M",15,27
1945,"M","M",12,17
1946,"M","M",16,25
1947,"M","M",20,34
1938,"A","M",16,27
1939,"A","M",12,19
1940,"A","M",15,22
1941,"A","M",15,25
1942,"A","M",6,11
1943,"A","M",9,17
1944,"A","M",3,6
1945,"A","M",8,12
1946,"A","M",0,0
1947,"A","M",13,23
1938,"S","M",7,10
1939,"S","M",7,7
1940,"S","M",12,15
1941,"S","M",9,13
1942,"S","M",21,33
1943,"S","M",10,19
1944,"S","M",17,27
1945,"S","M",34,38
1946,"S","M",1,1
1947,"S","M",25,30
1938,"E","M",6,14
1939,"E","M",9,15
1940,"E","M",12,15
1941,"E","M",10,13
1942,"E","M",9,11
1943,"E","M",1,3
1944,"E","M",19,26
1945,"E","M",18,22
1946,"E","M",0,0
1947,"E","M",26,33
1938,"A","F",13,18
1939,"A","F",9,13
1940,"A","F",18,22
1941,"A","F",9,13
1942,"A","F",9,10
1943,"A","F",9,11
1944,"A","F",19,25
1945,"A","F",19,24
1946,"A","F",3,3
1947,"A","F",13,19
1938,"S","F",2,2
1939,"S","F",2,2
1940,"S","F",4,5
1941,"S","F",3,4
1942,"S","F",4,4
1943,"S","F",6,7
1944,"S","F",4,5
1945,"S","F",18,20
1946,"S","F",3,3
1947,"S","F",13,15
