"HC","CO","NOX"
0.17,11.22,2.05
0.33,4.04,1.16
0.33,7.38,1.38
0.45,9.33,0.28
0.21,3.53,1.78
0.15,9.2,1.29
0.19,9.62,1.62
0.32,8.28,0.61
0.47,10.19,0.94
0.28,2.66,1.01
0.1,7.74,1.88
0.18,11.58,1.33
0.6,14.11,0.49
0.57,11.29,1.09
0.35,3.18,1.03
0.47,6.62,1.33
0.37,3.52,0.91
0.6,13.7,1.48
0.43,4.22,2.13
0.38,4.47,1.41
0.65,15.37,0.09
0.64,17.89,0.79
0.37,3.36,1.11
0.35,6.75,1.19
0.52,5.25,0.29
0.46,10.79,0.9
0.43,4.97,0.34
0.28,8.39,1.37
0.43,4.61,1.52
0.43,8.11,0.92
0.32,3.4,1.2
0.42,7.36,1.57
0.48,7.26,0.62
0.31,1.72,1.74
0.41,8.19,1.31
0.61,10.92,0.67
0.57,11.47,1.16
0.55,11.87,0.29
0.55,8.49,2.56
0.31,3.26,1.51
0.28,3.53,1.1
0.36,6.24,0.93
0.52,9.86,1.07
0.11,7.12,1.86
0.33,2.47,1.4
0.29,0.37,1.53
0.61,9.72,1.02
0.36,5.02,0.98
0.46,6.88,1.26
0.49,15.2,0.46
0.64,12.46,0.28
0.52,7.32,1.54
0.58,9.98,1.02
0.35,2.84,1.74
0.09,7.14,1.25
0.41,7.13,1.3
0.33,4.57,0.99
0.67,15.01,0.69
0.36,11.12,0.48
0.43,8.79,1.26
0.17,10.98,1.68
0.48,6.84,0.68
0.35,5.78,1.43
0.46,8.44,0.28
0.5,7.52,0.6
0.19,1.51,1.08
0.19,0.83,1.16
0.34,4.77,1.17
0.59,12.33,0.27
0.49,12.65,1.14
0.51,7.36,0.93
0.6,11.42,1.14
0.49,6.74,1.66
0.38,7.01,1.85
0.18,8.92,1.88
0.46,4.96,0.98
0.69,10.21,2.35
0.68,13.42,0.8
0.36,3.65,1.14
0.17,1.48,1.44
0.25,5.58,1.83
0.52,11.13,0.18
0.63,15.86,1.2
0.16,5.72,1.36
0.56,12.32,0.69
0.31,3.03,1.51
0.28,3.73,2.12
0.51,8.89,0.65
0.66,15.44,0.87
0.77,16.74,0.65
0.25,1.77,0.64
0.29,4.08,1.31
0.49,6.27,1.39
0.43,7.48,1.31
0.46,6.84,1.21
0.27,2.75,1.24
0.41,4.11,1.29
0.43,5.56,1.61
0.48,6.52,1.11
0.15,5.49,1.48
