"year","faculty","sex","survive","total"
1938,"M","M",16,26
1939,"M","M",16,28
1940,"M","M",6,16
1941,"M","M",17,23
1942,"M","M",36,53
1943,"M","M",9,18
1944,"M","M",24,34
1945,"M","M",9,13
1946,"M","M",25,34
1947,"M","M",26,35
1938,"A","M",23,34
1939,"A","M",15,21
1940,"A","M",13,28
1941,"A","M",7,10
1942,"A","M",5,7
1943,"A","M",13,22
1944,"A","M",8,14
1945,"A","M",6,8
1946,"A","M",0,0
1947,"A","M",15,22
1938,"S","M",8,14
1939,"S","M",10,11
1940,"S","M",11,14
1941,"S","M",9,10
1942,"S","M",27,39
1943,"S","M",18,23
1944,"S","M",24,32
1945,"S","M",27,37
1946,"S","M",4,5
1947,"S","M",32,36
1938,"E","M",18,23
1939,"E","M",8,10
1940,"E","M",14,15
1941,"E","M",10,14
1942,"E","M",6,8
1943,"E","M",1,1
1944,"E","M",15,19
1945,"E","M",21,31
1946,"E","M",0,0
1947,"E","M",25,35
1938,"A","F",13,19
1939,"A","F",19,22
1940,"A","F",12,17
1941,"A","F",20,24
1942,"A","F",8,12
1943,"A","F",11,14
1944,"A","F",16,18
1945,"A","F",20,25
1946,"A","F",1,1
1947,"A","F",6,10
1938,"S","F",2,2
1939,"S","F",5,5
1940,"S","F",4,4
1941,"S","F",3,3
1942,"S","F",6,7
1943,"S","F",5,5
1944,"S","F",1,2
1945,"S","F",19,21
1946,"S","F",1,1
1947,"S","F",7,9
