"year","faculty","sex","survive","total"
1938,"M","M",15,23
1939,"M","M",17,25
1940,"M","M",6,10
1941,"M","M",15,25
1942,"M","M",32,52
1943,"M","M",18,21
1944,"M","M",21,31
1945,"M","M",10,21
1946,"M","M",21,35
1947,"M","M",24,40
1938,"A","M",13,29
1939,"A","M",10,19
1940,"A","M",14,25
1941,"A","M",7,12
1942,"A","M",4,12
1943,"A","M",13,16
1944,"A","M",11,15
1945,"A","M",9,12
1946,"A","M",0,0
1947,"A","M",17,27
1938,"S","M",11,13
1939,"S","M",6,7
1940,"S","M",21,25
1941,"S","M",7,10
1942,"S","M",22,26
1943,"S","M",11,22
1944,"S","M",24,32
1945,"S","M",28,39
1946,"S","M",3,5
1947,"S","M",19,27
1938,"E","M",11,15
1939,"E","M",13,17
1940,"E","M",10,14
1941,"E","M",4,5
1942,"E","M",5,7
1943,"E","M",1,1
1944,"E","M",14,20
1945,"E","M",20,27
1946,"E","M",0,0
1947,"E","M",28,36
1938,"A","F",9,17
1939,"A","F",6,14
1940,"A","F",13,16
1941,"A","F",19,20
1942,"A","F",9,12
1943,"A","F",10,10
1944,"A","F",12,16
1945,"A","F",15,19
1946,"A","F",1,1
1947,"A","F",11,15
1938,"S","F",1,1
1939,"S","F",2,2
1940,"S","F",4,5
1941,"S","F",1,2
1942,"S","F",2,4
1943,"S","F",6,6
1944,"S","F",7,9
1945,"S","F",12,13
1946,"S","F",1,1
1947,"S","F",6,7
