"HC","CO","NOX"
0.27,5.17,1.79
0.22,2.7,1
0.46,8.99,0.64
0.41,4.77,1.11
0.6,9.78,1.66
0.26,5.83,1.65
0.43,8.44,0.66
0.27,0.36,0.7
0.19,0.29,1.65
0.44,9.01,1.05
0.39,0.4,1.95
0.46,9.31,0.32
0.62,12.36,0.81
0.45,6.5,1.28
0.37,10.64,2.12
0.24,5.03,1.55
0.41,4.25,1.28
0.31,8.55,0.72
0.23,7.05,0.92
0.41,5.34,1.05
0.29,1.71,1.37
0.42,5.79,0.78
0.28,0.83,1.56
0.46,9.6,0.36
0.46,8.74,0
0.39,4.87,1.46
0.39,6.33,0.96
0.34,5.59,0.8
0.22,1.38,1.33
0.56,10.56,0.71
0.64,9.87,1.16
0.19,7.02,1.53
0.4,7.92,1.39
0.2,5.31,1.42
0.55,3.42,1.77
0.36,3.2,1.48
0.24,5.72,1.06
0.51,8.37,1.34
0.07,6.97,1.11
0.65,14.19,0.3
0.25,2.56,0.66
0.64,15.96,1.44
0.49,9.27,1.23
0.49,9.93,0.46
0.42,6.18,1.42
0.36,3.7,0.83
0.27,2.88,2.36
0.66,13.51,0.49
0.47,6.62,1.19
0.58,13.9,0.03
0.37,7.54,1.35
0.28,0.17,1.65
0.47,12.2,0.79
0.37,6.67,1.14
0.38,3.76,1.27
0.44,9.63,0.7
0.44,4.14,1.45
0.32,5.61,1.18
0.36,6.62,0.99
0.34,7.94,0.48
0.13,6.69,1.5
0.29,5.72,0.61
0.73,14.03,0.29
0.7,16.15,0.95
0.24,9.22,1.22
0.49,11.76,0.72
0.48,7.11,1.19
0.34,8.72,2.55
0.37,3.15,1.92
0.14,9.59,1.42
0.18,10.11,1.9
0.12,9.71,1.42
0.12,7.35,1.85
0.32,10.66,1.05
0.55,15.47,1.46
0.35,4.23,1.2
0.61,14.45,0.19
0.39,7.41,0.82
0.08,7.77,1.73
0.44,6.58,0.96
0.42,8.83,1.23
0.44,6.66,1.44
0.26,0.8,1.49
0.45,8.4,0.76
0.43,2.38,1.81
0.49,3.98,1.35
0.54,11.41,0.68
0.21,11.29,1.39
0.44,9.12,1
0.49,10.13,0.94
0.57,10.71,1.07
0.3,4.54,1.16
0.29,3.36,1.74
0.08,2.01,1.23
0.61,11.6,0.94
0.46,5.57,0.47
0.28,6.12,1.7
0.12,7.96,1.46
0.23,1.8,1.9
0.88,15.16,0.47
