"year","faculty","sex","survive","total"
1938,"M","M",12,18
1939,"M","M",12,23
1940,"M","M",10,13
1941,"M","M",20,32
1942,"M","M",36,50
1943,"M","M",9,13
1944,"M","M",19,29
1945,"M","M",19,24
1946,"M","M",17,28
1947,"M","M",28,45
1938,"A","M",18,31
1939,"A","M",17,23
1940,"A","M",9,14
1941,"A","M",7,13
1942,"A","M",12,17
1943,"A","M",15,22
1944,"A","M",9,9
1945,"A","M",9,17
1946,"A","M",0,0
1947,"A","M",16,23
1938,"S","M",6,8
1939,"S","M",12,16
1940,"S","M",13,19
1941,"S","M",10,15
1942,"S","M",27,28
1943,"S","M",18,22
1944,"S","M",20,27
1945,"S","M",27,39
1946,"S","M",3,5
1947,"S","M",21,30
1938,"E","M",11,13
1939,"E","M",8,16
1940,"E","M",14,17
1941,"E","M",5,7
1942,"E","M",6,8
1943,"E","M",1,2
1944,"E","M",25,30
1945,"E","M",13,17
1946,"E","M",0,0
1947,"E","M",39,45
1938,"A","F",12,14
1939,"A","F",7,12
1940,"A","F",12,17
1941,"A","F",15,19
1942,"A","F",11,12
1943,"A","F",10,13
1944,"A","F",20,24
1945,"A","F",25,32
1946,"A","F",3,3
1947,"A","F",18,22
1938,"S","F",2,2
1939,"S","F",3,4
1940,"S","F",3,3
1941,"S","F",1,1
1942,"S","F",5,6
1943,"S","F",8,8
1944,"S","F",5,6
1945,"S","F",16,19
1946,"S","F",1,1
1947,"S","F",7,8
