"HC","CO","NOX"
0.49,7.28,1.33
0.46,8.11,1.18
0.84,19.76,1.24
0.16,0.1,1.94
0.57,10.27,1.16
0.21,0.72,1.29
0.1,1.97,1.02
0.5,8.79,0.98
0.28,5.71,1.55
0.08,9.86,1.56
0.48,6.7,0.42
0.35,3.56,1.29
0.44,6.21,1.28
0.26,5.01,1.25
0.31,5.99,1.22
0.42,7.13,0.71
0.06,8.28,1.57
0.2,2.22,0.84
0.26,1.04,0.51
0.23,2.96,1.04
0.32,4.82,1.1
0.39,8.37,0.34
0.54,11.82,1.11
0.58,10.21,1.26
0.37,4.1,1.68
0.36,4.5,1.07
0.36,3.93,1.5
0.2,2.01,1.46
0.37,3.79,1.58
0.55,8.57,0.54
0.44,11.15,0.96
0.29,2.25,1.93
0.28,6.93,0.81
0.35,7.11,0.99
0.36,7.08,0.82
0.56,10.8,1.02
0.64,13.44,0.3
0.63,10.62,1.06
0.45,7.09,1.56
0.57,11.67,0.81
0.08,5.89,1.76
0.33,1.47,1.17
0.36,8.08,0.67
0.45,5.86,1.21
0.31,2.87,1.81
0.59,10.92,0.57
0.94,19.37,0.08
0.49,6.7,0.68
0.83,18.56,1.14
0.2,0.34,1.92
0.26,3.11,1.33
0.24,2,1.31
0.38,7.41,1.32
0.14,8.22,2.55
0.06,6.27,1.46
0.36,9.29,0.67
0.59,14.61,0.81
0.4,8.34,1.23
0.13,11.51,1.9
0.69,13.84,1.07
0.53,8.71,0.9
0.5,6.49,1.49
0.44,6.7,0.71
0.37,6.26,1.37
0.26,1.28,1.09
0.51,4.23,1.57
0.41,1.53,2
0.44,3.84,1.23
0.56,8.56,1
0.46,8.08,1.18
0.27,4.14,0.8
0.5,2.98,1.48
0.64,11.39,0.88
0.08,9.46,1.69
0.3,2.82,1.63
0.48,8.86,1.14
0.4,9.11,1.68
0.51,9.6,0.96
0.54,8.36,1.07
0.29,0.83,1.45
0.26,1.44,1.67
0.7,10.1,1.08
0.14,7.83,2.03
0.32,1.88,1.38
0.54,11.84,1.36
0.32,3.84,1.76
0.34,5.62,2.01
0.42,7.31,1.12
0.21,2.71,1.49
0.62,14.96,0.06
0.28,7.06,2.28
0.11,3.46,0.91
0.32,4.65,1.5
0.48,7.83,0.78
0.45,5.55,1.38
0.31,6.54,1.53
0.29,4.72,1.56
0.56,11.81,0.95
0.44,7.09,0.95
0.56,10.55,0.43
