"year","faculty","sex","survive","total"
1938,"M","M",22,29
1939,"M","M",15,25
1940,"M","M",11,13
1941,"M","M",9,19
1942,"M","M",27,41
1943,"M","M",11,20
1944,"M","M",17,24
1945,"M","M",13,16
1946,"M","M",23,29
1947,"M","M",22,38
1938,"A","M",14,21
1939,"A","M",13,30
1940,"A","M",18,28
1941,"A","M",8,11
1942,"A","M",8,13
1943,"A","M",10,18
1944,"A","M",3,4
1945,"A","M",4,10
1946,"A","M",0,0
1947,"A","M",20,23
1938,"S","M",14,16
1939,"S","M",10,16
1940,"S","M",10,12
1941,"S","M",12,17
1942,"S","M",20,31
1943,"S","M",14,18
1944,"S","M",22,28
1945,"S","M",29,38
1946,"S","M",4,4
1947,"S","M",18,22
1938,"E","M",13,17
1939,"E","M",6,8
1940,"E","M",12,14
1941,"E","M",6,7
1942,"E","M",5,6
1943,"E","M",5,5
1944,"E","M",17,22
1945,"E","M",12,18
1946,"E","M",0,0
1947,"E","M",25,32
1938,"A","F",15,18
1939,"A","F",13,18
1940,"A","F",3,8
1941,"A","F",15,18
1942,"A","F",6,6
1943,"A","F",11,16
1944,"A","F",16,17
1945,"A","F",16,23
1946,"A","F",1,1
1947,"A","F",15,17
1938,"S","F",3,3
1939,"S","F",4,5
1940,"S","F",6,7
1941,"S","F",2,2
1942,"S","F",1,1
1943,"S","F",11,12
1944,"S","F",6,7
1945,"S","F",11,13
1946,"S","F",1,1
1947,"S","F",8,9
