"year","faculty","sex","survive","total"
1938,"M","M",15,26
1939,"M","M",13,25
1940,"M","M",9,11
1941,"M","M",14,24
1942,"M","M",30,38
1943,"M","M",10,22
1944,"M","M",16,26
1945,"M","M",6,11
1946,"M","M",22,32
1947,"M","M",18,27
1938,"A","M",16,25
1939,"A","M",9,20
1940,"A","M",22,28
1941,"A","M",10,19
1942,"A","M",11,18
1943,"A","M",13,18
1944,"A","M",4,6
1945,"A","M",7,12
1946,"A","M",0,0
1947,"A","M",12,20
1938,"S","M",8,14
1939,"S","M",10,12
1940,"S","M",17,24
1941,"S","M",13,17
1942,"S","M",20,23
1943,"S","M",16,20
1944,"S","M",28,34
1945,"S","M",27,32
1946,"S","M",2,3
1947,"S","M",25,38
1938,"E","M",14,18
1939,"E","M",4,8
1940,"E","M",15,18
1941,"E","M",6,8
1942,"E","M",6,6
1943,"E","M",1,3
1944,"E","M",14,18
1945,"E","M",19,26
1946,"E","M",0,0
1947,"E","M",28,37
1938,"A","F",15,19
1939,"A","F",14,20
1940,"A","F",12,16
1941,"A","F",11,18
1942,"A","F",12,15
1943,"A","F",10,15
1944,"A","F",17,19
1945,"A","F",22,28
1946,"A","F",1,1
1947,"A","F",15,17
1938,"S","F",1,2
1939,"S","F",3,3
1940,"S","F",9,10
1941,"S","F",1,1
1942,"S","F",1,2
1943,"S","F",7,7
1944,"S","F",5,5
1945,"S","F",16,19
1946,"S","F",1,1
1947,"S","F",9,10
