"HC","CO","NOX"
0.32,6.85,0.61
0.47,8.69,0.72
0.62,9.24,1.22
0.42,7.15,0.67
0.78,16.54,0.53
0.33,5,1.32
0.34,4.5,1.23
0.37,3.04,1.45
0.47,9.84,1.17
0.52,11.32,0.2
0.37,8.46,0.8
0.36,4.65,1.19
0.33,2.95,1.44
0.48,9.52,1.41
0.22,3.33,1.25
0.46,9.52,0.77
0.28,0.27,1.42
0.96,22.63,1.57
0.28,8.56,2.17
0.23,8.32,1.33
0.57,9.08,0.52
0.17,6.77,2.22
0.35,4.02,1.3
0.31,0.93,0.98
0.44,5.58,1.35
0.19,9.83,1.66
0.08,5.38,2.81
0.43,8.4,0.83
0.13,7.64,1.62
0.58,12.02,0.43
0.45,8.49,0.82
0.13,10.86,2.14
0.42,4.65,1.46
0.48,6.03,2.01
0.52,8.74,1.34
0.26,4.72,0.73
0.36,4.96,1.55
0.46,6.22,0.84
0.46,4.26,0.76
0.95,20.47,1.28
0.38,5.55,0.93
0.58,12.13,0.69
0.27,6.54,1.66
0.34,3.24,2.01
0.44,7.03,1.03
0.52,8.44,0.53
0.36,5.72,1.98
0.48,5.41,1.6
0.32,3.92,0.89
0.29,3.92,1.1
0.76,15.3,0.2
0.49,7.73,1.14
0.43,7.9,0.48
0.46,6.37,1.38
0.54,9.15,0.61
0.12,7.86,1.5
0.26,0.67,1.66
0.41,10.21,0.46
0.2,7.08,1.76
0.41,4.8,0.93
0.42,7.65,1.91
0.21,1.27,1.34
0.4,3.76,1.36
0.48,7.69,0.93
0.45,8.32,0.93
0.5,8.6,0.9
0.57,12.36,0.51
0.69,11.44,1.57
0.66,14.95,0.51
0.35,5,1.07
0.31,1.07,1.3
0.22,6.92,1.01
0.42,7.35,0.9
0.64,10.5,0.7
0.08,7.94,1.57
0.51,9.71,0.78
0.61,11.46,1.02
0.46,3.69,1.62
0.51,6.58,1.6
0.41,4.5,1.83
0.12,9.87,2.5
0.25,9.45,2.21
0.57,12.79,1.01
0.32,6.32,1.41
0.41,3.92,1.5
0.66,15.22,0.79
0.2,2.11,0.78
0.2,9.76,1.17
0.34,4.35,1.56
0.35,4.5,1.49
0.16,5.79,1.96
0.45,4.19,1.17
0.45,8.12,0.71
0.26,0.98,1.31
0.51,10.65,0.83
0.59,14.32,0.53
0.78,20.68,1.19
0.39,4.07,1.47
0.45,7.58,0.39
0.3,1.77,1.51
