"year","faculty","sex","survive","total"
1938,"M","M",15,25
1939,"M","M",13,20
1940,"M","M",11,14
1941,"M","M",22,35
1942,"M","M",37,53
1943,"M","M",15,26
1944,"M","M",23,34
1945,"M","M",8,16
1946,"M","M",23,31
1947,"M","M",30,46
1938,"A","M",14,27
1939,"A","M",17,27
1940,"A","M",10,18
1941,"A","M",11,17
1942,"A","M",9,11
1943,"A","M",15,20
1944,"A","M",6,10
1945,"A","M",9,11
1946,"A","M",0,0
1947,"A","M",18,30
1938,"S","M",9,10
1939,"S","M",6,10
1940,"S","M",12,15
1941,"S","M",8,15
1942,"S","M",19,26
1943,"S","M",14,18
1944,"S","M",20,26
1945,"S","M",36,44
1946,"S","M",4,4
1947,"S","M",21,28
1938,"E","M",13,19
1939,"E","M",11,15
1940,"E","M",12,15
1941,"E","M",8,9
1942,"E","M",4,5
1943,"E","M",2,3
1944,"E","M",11,16
1945,"E","M",23,29
1946,"E","M",0,0
1947,"E","M",34,38
1938,"A","F",20,24
1939,"A","F",8,13
1940,"A","F",15,18
1941,"A","F",20,26
1942,"A","F",2,4
1943,"A","F",6,7
1944,"A","F",16,22
1945,"A","F",21,26
1946,"A","F",2,2
1947,"A","F",10,10
1938,"S","F",1,1
1939,"S","F",6,6
1940,"S","F",2,2
1941,"S","F",2,2
1942,"S","F",3,3
1943,"S","F",9,10
1944,"S","F",7,7
1945,"S","F",17,20
1946,"S","F",1,2
1947,"S","F",8,9
