"year","faculty","sex","survive","total"
1938,"M","M",13,25
1939,"M","M",13,18
1940,"M","M",12,16
1941,"M","M",11,18
1942,"M","M",35,49
1943,"M","M",11,15
1944,"M","M",15,28
1945,"M","M",5,9
1946,"M","M",25,46
1947,"M","M",22,36
1938,"A","M",12,27
1939,"A","M",16,25
1940,"A","M",15,18
1941,"A","M",6,9
1942,"A","M",6,14
1943,"A","M",13,13
1944,"A","M",8,13
1945,"A","M",6,11
1946,"A","M",0,0
1947,"A","M",16,26
1938,"S","M",10,17
1939,"S","M",10,12
1940,"S","M",12,21
1941,"S","M",11,15
1942,"S","M",23,33
1943,"S","M",19,23
1944,"S","M",33,42
1945,"S","M",25,32
1946,"S","M",4,4
1947,"S","M",19,29
1938,"E","M",12,15
1939,"E","M",11,12
1940,"E","M",9,11
1941,"E","M",4,6
1942,"E","M",7,8
1943,"E","M",4,5
1944,"E","M",10,16
1945,"E","M",10,18
1946,"E","M",0,0
1947,"E","M",28,35
1938,"A","F",18,21
1939,"A","F",15,20
1940,"A","F",11,15
1941,"A","F",12,17
1942,"A","F",13,16
1943,"A","F",10,11
1944,"A","F",22,31
1945,"A","F",18,22
1946,"A","F",2,2
1947,"A","F",15,16
1938,"S","F",1,1
1939,"S","F",4,5
1940,"S","F",5,5
1941,"S","F",1,1
1942,"S","F",3,3
1943,"S","F",9,10
1944,"S","F",2,2
1945,"S","F",12,15
1946,"S","F",1,1
1947,"S","F",7,9
