"year","faculty","sex","survive","total"
1938,"M","M",18,29
1939,"M","M",15,26
1940,"M","M",17,23
1941,"M","M",15,23
1942,"M","M",38,63
1943,"M","M",16,20
1944,"M","M",24,40
1945,"M","M",8,13
1946,"M","M",20,29
1947,"M","M",14,25
1938,"A","M",8,19
1939,"A","M",18,33
1940,"A","M",15,23
1941,"A","M",11,15
1942,"A","M",12,18
1943,"A","M",13,19
1944,"A","M",10,15
1945,"A","M",9,11
1946,"A","M",0,0
1947,"A","M",17,25
1938,"S","M",8,12
1939,"S","M",7,8
1940,"S","M",17,20
1941,"S","M",9,11
1942,"S","M",25,30
1943,"S","M",20,30
1944,"S","M",24,35
1945,"S","M",18,25
1946,"S","M",3,5
1947,"S","M",21,27
1938,"E","M",9,18
1939,"E","M",6,6
1940,"E","M",12,18
1941,"E","M",6,9
1942,"E","M",8,8
1943,"E","M",2,3
1944,"E","M",26,28
1945,"E","M",14,22
1946,"E","M",0,0
1947,"E","M",40,47
1938,"A","F",18,24
1939,"A","F",10,13
1940,"A","F",17,23
1941,"A","F",17,23
1942,"A","F",7,9
1943,"A","F",13,16
1944,"A","F",9,11
1945,"A","F",16,20
1946,"A","F",1,1
1947,"A","F",12,16
1938,"S","F",2,2
1939,"S","F",6,6
1940,"S","F",8,9
1941,"S","F",6,7
1942,"S","F",1,1
1943,"S","F",10,12
1944,"S","F",9,9
1945,"S","F",16,17
1946,"S","F",1,1
1947,"S","F",4,6
