"year","faculty","sex","survive","total"
1938,"M","M",15,28
1939,"M","M",18,31
1940,"M","M",12,18
1941,"M","M",19,32
1942,"M","M",39,58
1943,"M","M",14,19
1944,"M","M",26,33
1945,"M","M",8,17
1946,"M","M",19,30
1947,"M","M",27,43
1938,"A","M",18,27
1939,"A","M",8,14
1940,"A","M",22,38
1941,"A","M",14,18
1942,"A","M",5,14
1943,"A","M",13,21
1944,"A","M",6,8
1945,"A","M",10,13
1946,"A","M",0,0
1947,"A","M",16,29
1938,"S","M",7,9
1939,"S","M",11,17
1940,"S","M",17,22
1941,"S","M",11,16
1942,"S","M",19,24
1943,"S","M",17,19
1944,"S","M",19,29
1945,"S","M",26,39
1946,"S","M",5,6
1947,"S","M",27,31
1938,"E","M",12,14
1939,"E","M",9,13
1940,"E","M",12,19
1941,"E","M",7,8
1942,"E","M",6,8
1943,"E","M",2,3
1944,"E","M",15,23
1945,"E","M",18,26
1946,"E","M",0,0
1947,"E","M",29,36
1938,"A","F",10,13
1939,"A","F",11,17
1940,"A","F",17,21
1941,"A","F",16,22
1942,"A","F",7,10
1943,"A","F",11,13
1944,"A","F",11,14
1945,"A","F",12,14
1946,"A","F",1,1
1947,"A","F",12,13
1938,"S","F",2,2
1939,"S","F",4,6
1940,"S","F",6,6
1941,"S","F",2,2
1942,"S","F",3,4
1943,"S","F",6,7
1944,"S","F",1,1
1945,"S","F",17,18
1946,"S","F",1,1
1947,"S","F",11,13
