"year","faculty","sex","survive","total"
1938,"M","M",8,19
1939,"M","M",18,26
1940,"M","M",14,21
1941,"M","M",20,30
1942,"M","M",30,53
1943,"M","M",11,14
1944,"M","M",27,38
1945,"M","M",7,10
1946,"M","M",27,40
1947,"M","M",36,46
1938,"A","M",19,27
1939,"A","M",6,13
1940,"A","M",19,24
1941,"A","M",10,15
1942,"A","M",5,10
1943,"A","M",11,19
1944,"A","M",6,9
1945,"A","M",10,13
1946,"A","M",0,0
1947,"A","M",6,13
1938,"S","M",9,14
1939,"S","M",14,15
1940,"S","M",11,19
1941,"S","M",15,17
1942,"S","M",26,33
1943,"S","M",15,19
1944,"S","M",16,27
1945,"S","M",31,40
1946,"S","M",4,6
1947,"S","M",33,38
1938,"E","M",7,11
1939,"E","M",5,8
1940,"E","M",14,15
1941,"E","M",7,7
1942,"E","M",8,9
1943,"E","M",1,2
1944,"E","M",26,31
1945,"E","M",22,29
1946,"E","M",0,0
1947,"E","M",25,36
1938,"A","F",14,18
1939,"A","F",10,12
1940,"A","F",17,22
1941,"A","F",22,25
1942,"A","F",7,12
1943,"A","F",9,13
1944,"A","F",28,35
1945,"A","F",15,17
1946,"A","F",1,1
1947,"A","F",17,21
1938,"S","F",2,2
1939,"S","F",2,3
1940,"S","F",6,7
1941,"S","F",2,2
1942,"S","F",1,1
1943,"S","F",9,9
1944,"S","F",6,6
1945,"S","F",24,27
1946,"S","F",1,1
1947,"S","F",4,5
