"HC","CO","NOX"
0.42,7.34,0.93
0.64,13.86,1.33
0.24,11.62,1.97
0.32,1.12,1.39
0.4,11.12,0.9
0.7,14.62,0.92
0.42,5.61,1.05
0.31,1.57,1.16
0.35,2.19,0.44
0.43,8.51,1.14
0.48,12.58,0.29
0.29,3.64,1.56
0.65,12.65,0.93
0.63,12.38,0.29
0.47,7.03,1.45
0.3,4.46,1.4
0.62,8.34,1.72
0.55,10.48,0.89
0.31,1.54,0.87
0.29,7.08,1.67
0.29,5.65,0.5
0.56,12.23,1.07
0.35,4.05,1.37
0.38,2.11,1.81
0.47,7.99,0.84
0.65,17.05,0.35
0.62,14.53,0.34
0.32,7.15,1.35
0.46,5.56,1.45
0.31,3.81,1.39
0.32,3.87,0.51
0.54,10.7,0.93
0.66,11.51,0.99
0.65,13.93,0.42
0.51,4.9,1.94
0.42,6.74,1.17
0.69,11.47,0.93
0.06,8.89,1.83
0.23,6.73,1.4
0.39,5.33,0.86
0.25,1.78,1.46
0.56,9.58,1.04
0.22,2.16,1.6
0.43,3.51,1.3
0.32,4,1.18
0.41,6.15,1.01
0.47,12.27,0.59
0.42,1.77,1.9
0.63,14.09,0.74
0.73,14.94,1
0.55,11.33,0.52
0.52,6.68,1.05
0.81,18.13,0.78
0.24,1.45,1.54
0.31,3.77,0.99
0.01,8.58,1.31
0.53,9.82,0.81
0.63,13.29,1.03
0.22,0.01,1.05
0.47,7.89,0.73
0.53,8.61,1.28
0.44,10.96,0.6
0.41,5.22,0.94
0.42,3.88,1.19
0.46,6.7,1.01
0.46,7.83,1.38
0.28,2.75,1.42
0.35,4.91,1.5
0.23,3.17,0.52
0.63,6.97,1.98
0.27,0.73,1.26
0.37,7.12,1.9
0.14,1.31,1.82
0.13,6.12,1.17
0.36,7.21,0.27
0.28,1.97,1.35
0.39,9.06,0.51
0.51,9.36,1.02
0.05,10.73,1.89
0.24,3.86,1.28
0.26,1.69,1.52
0.27,9.31,1.56
0.57,10.03,1.05
0.27,4.19,0.75
0.33,5.5,1.29
0.77,20.03,1.42
0.57,10.9,0.41
0.2,2.85,1.4
0.28,6.07,1.39
0.67,15.2,0.33
0.45,8.27,0.92
0.52,8.31,1.55
0.29,0.64,1.24
0.07,9.98,0.65
0.38,3.46,1.51
0.24,4.47,0.78
0.34,3.15,1.59
0.02,8.01,1.64
0.5,5.26,1.81
0.58,10.86,0.26
