"year","faculty","sex","survive","total"
1938,"M","M",12,18
1939,"M","M",13,19
1940,"M","M",9,20
1941,"M","M",12,14
1942,"M","M",33,45
1943,"M","M",15,22
1944,"M","M",17,27
1945,"M","M",8,11
1946,"M","M",38,50
1947,"M","M",23,42
1938,"A","M",18,28
1939,"A","M",4,9
1940,"A","M",19,32
1941,"A","M",6,11
1942,"A","M",8,14
1943,"A","M",14,21
1944,"A","M",3,6
1945,"A","M",4,7
1946,"A","M",0,0
1947,"A","M",14,20
1938,"S","M",14,18
1939,"S","M",10,18
1940,"S","M",10,15
1941,"S","M",9,12
1942,"S","M",23,28
1943,"S","M",15,17
1944,"S","M",17,21
1945,"S","M",32,45
1946,"S","M",3,4
1947,"S","M",23,26
1938,"E","M",12,15
1939,"E","M",6,9
1940,"E","M",6,9
1941,"E","M",2,4
1942,"E","M",6,6
1943,"E","M",4,4
1944,"E","M",16,21
1945,"E","M",20,25
1946,"E","M",0,0
1947,"E","M",22,31
1938,"A","F",15,19
1939,"A","F",13,16
1940,"A","F",14,19
1941,"A","F",18,22
1942,"A","F",6,8
1943,"A","F",9,14
1944,"A","F",14,20
1945,"A","F",17,21
1946,"A","F",1,2
1947,"A","F",19,21
1938,"S","F",1,2
1939,"S","F",2,3
1940,"S","F",4,4
1941,"S","F",1,1
1942,"S","F",4,4
1943,"S","F",6,7
1944,"S","F",2,2
1945,"S","F",14,16
1946,"S","F",1,2
1947,"S","F",5,5
