"year","faculty","sex","survive","total"
1938,"M","M",19,34
1939,"M","M",11,22
1940,"M","M",8,14
1941,"M","M",15,26
1942,"M","M",30,45
1943,"M","M",11,23
1944,"M","M",26,36
1945,"M","M",11,17
1946,"M","M",13,26
1947,"M","M",25,35
1938,"A","M",17,30
1939,"A","M",7,17
1940,"A","M",13,24
1941,"A","M",7,10
1942,"A","M",11,17
1943,"A","M",8,14
1944,"A","M",3,4
1945,"A","M",3,7
1946,"A","M",0,0
1947,"A","M",18,24
1938,"S","M",12,17
1939,"S","M",10,12
1940,"S","M",10,16
1941,"S","M",9,11
1942,"S","M",24,31
1943,"S","M",18,26
1944,"S","M",28,36
1945,"S","M",34,45
1946,"S","M",5,7
1947,"S","M",17,24
1938,"E","M",14,17
1939,"E","M",5,8
1940,"E","M",15,20
1941,"E","M",8,11
1942,"E","M",4,10
1943,"E","M",2,3
1944,"E","M",23,28
1945,"E","M",24,33
1946,"E","M",0,0
1947,"E","M",26,36
1938,"A","F",13,18
1939,"A","F",11,16
1940,"A","F",19,21
1941,"A","F",16,21
1942,"A","F",11,12
1943,"A","F",7,10
1944,"A","F",16,23
1945,"A","F",19,21
1946,"A","F",1,1
1947,"A","F",12,18
1938,"S","F",2,2
1939,"S","F",3,3
1940,"S","F",5,9
1941,"S","F",5,7
1942,"S","F",6,6
1943,"S","F",11,13
1944,"S","F",3,3
1945,"S","F",18,18
1946,"S","F",1,2
1947,"S","F",9,11
