"year","faculty","sex","survive","total"
1938,"M","M",13,17
1939,"M","M",19,21
1940,"M","M",14,20
1941,"M","M",22,27
1942,"M","M",25,42
1943,"M","M",13,22
1944,"M","M",21,33
1945,"M","M",11,15
1946,"M","M",24,37
1947,"M","M",32,45
1938,"A","M",18,29
1939,"A","M",16,22
1940,"A","M",16,21
1941,"A","M",10,17
1942,"A","M",5,10
1943,"A","M",7,10
1944,"A","M",7,9
1945,"A","M",1,5
1946,"A","M",0,0
1947,"A","M",17,23
1938,"S","M",7,10
1939,"S","M",5,8
1940,"S","M",8,14
1941,"S","M",11,15
1942,"S","M",24,29
1943,"S","M",9,15
1944,"S","M",35,47
1945,"S","M",24,29
1946,"S","M",2,3
1947,"S","M",24,27
1938,"E","M",15,20
1939,"E","M",10,17
1940,"E","M",11,17
1941,"E","M",9,12
1942,"E","M",7,7
1943,"E","M",1,2
1944,"E","M",22,26
1945,"E","M",24,31
1946,"E","M",0,0
1947,"E","M",20,23
1938,"A","F",15,20
1939,"A","F",18,18
1940,"A","F",19,21
1941,"A","F",11,15
1942,"A","F",3,3
1943,"A","F",9,17
1944,"A","F",23,25
1945,"A","F",18,23
1946,"A","F",1,1
1947,"A","F",12,19
1938,"S","F",2,2
1939,"S","F",5,5
1940,"S","F",5,5
1941,"S","F",4,4
1942,"S","F",3,3
1943,"S","F",4,4
1944,"S","F",3,3
1945,"S","F",19,22
1946,"S","F",1,1
1947,"S","F",7,9
