"HC","CO","NOX"
0.57,8.61,1.42
0.44,9.37,0.94
0.11,6.67,1.08
0.54,4.87,1.58
0.36,1.99,0.61
0.19,2.62,0.7
0.38,8.48,0.64
0.75,14.33,1.07
0.64,19.13,1.34
0.61,11.98,0.72
0.08,8.53,1.26
0.58,11.35,0.91
0.46,8.14,1.05
0.75,12.54,0.99
0.51,6.87,2.36
0.43,10.99,1.03
0.25,12.03,1.98
0.45,6.83,0.94
0.38,3.77,1.9
0.26,2.53,1.27
0.32,4.39,1.11
0.13,10.64,1.12
0.17,0.08,0.73
0.7,10.37,0.97
0.55,14.14,0.74
0.49,10.35,1.24
0.21,1.93,0.89
0.53,10.99,0.58
0.37,7.48,0.72
0.48,7.12,1.68
0.43,7.85,1.14
0.51,13.38,0.85
0.35,5.74,1.23
0.47,12.08,0.7
0.62,14.69,0.21
0.29,0.7,1.44
0.8,19.52,0.43
0.38,8.41,0.84
0.07,5.88,2.57
0.22,1.24,0.86
0.31,2.21,1.71
0.15,1.23,1.05
0.32,4.64,0.79
0.26,2.43,1.23
0.22,0.22,1.65
0.22,0.72,1.87
0.24,2.04,0.95
0.53,6.11,0.6
0.57,11.71,0.29
0.51,10.98,0.55
0.74,15.86,0.27
0.37,8.15,0.53
0.35,1.85,1.59
0.56,12.22,1.18
0.23,8.26,0.69
0.28,4.05,1.18
0.29,5.4,1.04
0.32,6.59,0.75
0.06,10.47,2.38
0.53,8.47,0.82
0.45,9.25,1.62
0.34,7.44,1.46
0.55,6.99,1.31
0.25,0.99,1.43
0.17,0.75,1.69
0.24,0.27,1.23
0.67,19.11,0.28
0.25,6.02,2.01
0.43,2.75,1.54
0.43,4.18,1.25
0.3,6.59,1.04
0.06,7.81,1.75
0.47,7.89,0.52
0.45,8.1,0.75
0.23,2.86,1.78
0.74,15.65,0.62
0.49,7.35,0.84
0.21,7.06,1.49
0.53,7.61,1.4
0.38,6.83,0.87
0.14,9.51,1.39
0.14,5.36,0.74
0.07,6.4,1.39
0.22,1.67,0.55
0.24,5.09,0.8
0.21,2.36,1.24
0.81,17.67,0.56
0.38,4.56,0.9
0.52,5.89,1.11
0.43,7.78,1.08
0.27,1.78,1.62
0.35,4.15,1.29
0.62,15.03,0.64
0.41,5.39,0.88
0.29,7.86,0.42
0.56,11.61,0.99
0.41,5.91,1.18
0.56,13.37,0.58
0.41,7.61,0.57
0.43,4.35,0.93
