"HC","CO","NOX"
0.2,2.54,0.91
0.78,17.57,0.37
0.37,4.38,1.27
0.11,12.04,1.57
0.36,6.12,0.89
0.45,7.51,0.5
0.4,6,1.67
0.76,16.72,1.33
0.36,6,1.86
0.1,7.79,1.48
0.61,10.56,0.52
0.31,2.21,1.39
0.53,9.21,1.05
0.46,7.32,1.07
0.17,1.01,1.18
0.35,6.78,0.95
0.38,3.11,1.17
0.45,6.66,1.26
0.6,12.94,0.91
0.43,4.43,1.55
0.47,7.37,0.99
0.28,4.87,1.02
0.2,11.71,2.32
0.46,12.33,0.94
0.55,11.83,0.94
0.58,12.23,0.12
0.36,2.87,1.6
0.28,5.66,0.73
0.63,12.44,0.7
0.4,5.31,1.6
0.6,8.81,0.83
0.06,12.01,2.24
0.44,3.39,1.72
0.3,4.83,1.52
0.46,6.76,0.65
0.46,7.87,0.95
0.51,7.39,0.7
0.29,1.72,1.68
0.51,11.66,0.59
0.44,4.9,1.26
0.4,7.96,0.76
0.43,9.18,0.79
0.54,9.78,0.33
0.57,9.31,0.86
0.46,5.31,1.73
0.27,2.41,1.4
0.7,13.37,0.19
0.16,8.08,1.99
0.61,9.67,0.73
0.14,0.97,1.71
0.52,10.34,1.16
0.43,6.53,1.16
0.39,6.28,0.62
0.47,5.46,1
0.52,9.82,1.16
0.64,10.99,1.16
0.56,10.23,1.02
0.37,3.8,1.17
0.27,2.56,1.44
0.21,6.86,1.41
0.51,11.86,0.92
0.35,6.53,0.9
0.56,11.84,0.6
0.46,10.14,0.51
0.6,6.37,1.17
0.58,5.15,1.06
0.64,10.97,1.84
0.22,1.4,1.45
0.17,3.07,1.35
0.44,9.06,1.06
0.43,7.77,0.96
0.08,8.75,1.97
0.34,4.75,1.36
0.45,7.64,1.31
0.49,4.87,0.85
0.84,16.57,0.8
0.22,2.33,1.1
0.59,9.97,0.98
0.2,3.4,0.99
0.39,3.34,1.67
0.27,6.6,1.48
0.36,3.52,1.23
0.35,4.07,0.79
0.35,3.1,1.66
0.25,0.87,1.95
0.13,5.34,1.95
0.5,10.16,0.52
0.49,10.81,0.98
0.5,7.03,1.11
0.42,5.88,1.12
0.93,16.31,0.87
0.65,8.45,1.97
0.49,4.95,1.56
0.5,10.4,1.31
0.3,3.09,1.59
0.5,10.91,1.04
0.49,9.99,0.61
0.17,0.49,1.53
0.5,12.04,0.92
0.1,8,1.47
