"year","faculty","sex","survive","total"
1938,"M","M",20,31
1939,"M","M",17,31
1940,"M","M",8,15
1941,"M","M",14,23
1942,"M","M",30,53
1943,"M","M",12,23
1944,"M","M",22,36
1945,"M","M",7,14
1946,"M","M",23,35
1947,"M","M",25,34
1938,"A","M",15,23
1939,"A","M",13,18
1940,"A","M",11,20
1941,"A","M",10,15
1942,"A","M",4,7
1943,"A","M",14,17
1944,"A","M",6,13
1945,"A","M",2,8
1946,"A","M",0,0
1947,"A","M",19,25
1938,"S","M",8,13
1939,"S","M",12,16
1940,"S","M",20,28
1941,"S","M",9,12
1942,"S","M",25,30
1943,"S","M",15,19
1944,"S","M",22,32
1945,"S","M",27,35
1946,"S","M",4,5
1947,"S","M",17,24
1938,"E","M",15,20
1939,"E","M",5,9
1940,"E","M",9,11
1941,"E","M",10,13
1942,"E","M",4,5
1943,"E","M",2,2
1944,"E","M",16,21
1945,"E","M",20,26
1946,"E","M",0,0
1947,"E","M",29,36
1938,"A","F",9,17
1939,"A","F",14,18
1940,"A","F",17,20
1941,"A","F",17,25
1942,"A","F",6,8
1943,"A","F",9,13
1944,"A","F",17,23
1945,"A","F",13,17
1946,"A","F",1,1
1947,"A","F",9,12
1938,"S","F",2,2
1939,"S","F",2,2
1940,"S","F",3,3
1941,"S","F",3,3
1942,"S","F",4,5
1943,"S","F",10,11
1944,"S","F",5,5
1945,"S","F",17,17
1946,"S","F",2,2
1947,"S","F",7,9
