"HC","CO","NOX"
0.32,3.52,1.22
0.54,6.67,2.38
0.32,2.61,1.5
0.43,8.27,0.55
0.17,8.76,1.43
0.51,11.22,1.72
0.39,6.89,1.18
0.35,6.59,1.34
0.35,2.13,0.91
0.83,19.79,0.03
0.37,1.59,1.42
0.05,10.3,2.29
0.43,6.49,1.23
0.15,8.69,1.24
0.45,6.19,1.48
0.53,7.42,0.91
0.37,5.23,1.1
0.44,9.23,1.19
0.35,3.69,1.78
0.37,6.16,0.93
0.03,1.2,1.7
0.43,5.66,0.85
0.48,9.82,0.38
0.73,17.3,0.69
0.31,2.04,1.22
0.35,2.63,0.87
0.47,8.79,0.72
0.36,7.85,1.53
0.61,11.87,0.96
0.51,8.44,1.11
0.62,12.5,1.14
0.57,9.84,0.89
0.29,3.44,1.52
0.13,13.4,1.44
0.46,5.11,1.67
0.53,4.97,1.48
0.38,5.54,0.87
0.3,4.5,0.36
0.5,9.86,0.97
0.37,5.92,1.49
0.55,11.08,1.13
0.54,10.42,0.83
0.48,13.99,0.15
0.67,11.24,1.2
0.21,3.04,0.98
0.59,11.75,0.82
0.74,16.27,0.25
0.47,8.1,0.93
0.66,8.75,0.44
0.51,11.78,0.58
0.63,9.8,2
0.61,15.91,0.79
0.37,1.36,1.12
0.41,9.29,0.5
0.52,8.69,1.1
0.43,7.5,0.9
0.38,3.69,0.9
0.12,7.46,1.81
0.33,6.45,0.9
0.23,2.47,1.44
0.49,5.69,1.3
0.41,5.24,0.76
0.37,9.87,0.72
0.5,10.83,0.21
0.63,15.22,0.45
0.42,5.35,1.72
0.07,7.28,1.27
0.35,6.49,1.57
0.31,0.31,1.63
0.4,9.02,0.98
0.35,1.5,2.13
0.26,0.08,1.2
0.55,9.38,0.83
0.47,7.35,1.16
0.4,8.11,1.05
0.33,0.42,1.67
0.65,14.88,1.51
0.36,4.46,1.76
0.25,1.82,1.35
0.51,4.3,1.55
0.34,7.31,1.05
0.51,10.54,0.86
0.45,6.69,0.61
0.42,5.5,1.13
0.26,0.99,1.86
0.71,12.52,1.13
0.49,10.75,0.56
0.28,6.91,1.55
0.25,6.41,0.74
0.08,10.12,2.33
0.07,6.04,1.83
0.42,6.66,1.1
0.23,4.91,1.89
0.35,3.57,1.27
0.43,4.74,1.29
0.55,13.14,0.52
0.22,9.66,1.8
0.27,8.18,1.93
0.43,11.14,0.68
0.43,5.31,0.69
