"year","faculty","sex","survive","total"
1938,"M","M",12,20
1939,"M","M",17,24
1940,"M","M",8,13
1941,"M","M",14,24
1942,"M","M",25,46
1943,"M","M",17,26
1944,"M","M",25,39
1945,"M","M",7,12
1946,"M","M",24,34
1947,"M","M",26,43
1938,"A","M",22,32
1939,"A","M",12,19
1940,"A","M",12,27
1941,"A","M",15,21
1942,"A","M",10,13
1943,"A","M",12,17
1944,"A","M",9,11
1945,"A","M",5,6
1946,"A","M",0,0
1947,"A","M",8,19
1938,"S","M",9,17
1939,"S","M",11,15
1940,"S","M",21,24
1941,"S","M",14,20
1942,"S","M",23,33
1943,"S","M",15,22
1944,"S","M",19,28
1945,"S","M",37,43
1946,"S","M",2,2
1947,"S","M",34,41
1938,"E","M",12,14
1939,"E","M",6,10
1940,"E","M",6,8
1941,"E","M",10,10
1942,"E","M",2,4
1943,"E","M",2,2
1944,"E","M",14,17
1945,"E","M",20,28
1946,"E","M",0,0
1947,"E","M",29,40
1938,"A","F",11,15
1939,"A","F",13,17
1940,"A","F",14,21
1941,"A","F",19,23
1942,"A","F",11,14
1943,"A","F",8,11
1944,"A","F",19,25
1945,"A","F",19,22
1946,"A","F",2,2
1947,"A","F",14,17
1938,"S","F",2,2
1939,"S","F",1,1
1940,"S","F",7,9
1941,"S","F",5,6
1942,"S","F",4,6
1943,"S","F",5,6
1944,"S","F",8,9
1945,"S","F",10,10
1946,"S","F",2,2
1947,"S","F",5,6
