"year","faculty","sex","survive","total"
1938,"M","M",15,21
1939,"M","M",14,20
1940,"M","M",8,13
1941,"M","M",15,28
1942,"M","M",40,60
1943,"M","M",14,23
1944,"M","M",23,40
1945,"M","M",10,15
1946,"M","M",24,37
1947,"M","M",36,47
1938,"A","M",18,31
1939,"A","M",10,13
1940,"A","M",8,14
1941,"A","M",11,13
1942,"A","M",4,8
1943,"A","M",4,18
1944,"A","M",3,6
1945,"A","M",15,17
1946,"A","M",0,0
1947,"A","M",14,21
1938,"S","M",10,10
1939,"S","M",5,8
1940,"S","M",14,18
1941,"S","M",7,10
1942,"S","M",23,29
1943,"S","M",23,28
1944,"S","M",19,28
1945,"S","M",23,31
1946,"S","M",9,9
1947,"S","M",20,24
1938,"E","M",9,13
1939,"E","M",8,15
1940,"E","M",14,18
1941,"E","M",5,7
1942,"E","M",11,11
1943,"E","M",1,1
1944,"E","M",18,22
1945,"E","M",20,24
1946,"E","M",0,0
1947,"E","M",36,43
1938,"A","F",18,21
1939,"A","F",11,14
1940,"A","F",17,20
1941,"A","F",9,13
1942,"A","F",8,10
1943,"A","F",11,13
1944,"A","F",19,23
1945,"A","F",14,19
1946,"A","F",2,2
1947,"A","F",20,25
1938,"S","F",1,1
1939,"S","F",8,10
1940,"S","F",8,8
1941,"S","F",3,4
1942,"S","F",3,3
1943,"S","F",8,9
1944,"S","F",4,4
1945,"S","F",13,16
1946,"S","F",1,1
1947,"S","F",7,8
