"HC","CO","NOX"
0.29,0.89,1.59
0.37,5.42,1.07
0.4,7.64,0.62
0.42,5.67,0.64
0.42,5.97,1.09
0.48,6.31,1.17
0.32,4.43,1.07
0.42,9.77,0.38
0.56,9.37,1.12
0.26,5.14,1.26
0.31,7.89,1.72
0.39,3.63,1.22
0.37,6.08,1.17
0.13,9.21,1.6
0.22,2.51,1.36
0.22,8.19,1.09
0.59,9.3,1.3
0.39,6.49,0.93
0.69,14.14,0.89
0.33,2.74,1.56
0.35,2.37,1.65
0.43,5.48,1.36
0.34,8.23,0.13
0.18,0.44,0.52
0.4,6.63,1.08
0.39,4.3,1.75
0.32,2.34,1.03
0.52,7.85,2.04
0.3,5.11,1.2
0.49,9.46,0.66
0.13,12.72,1.35
0.26,0.02,1.52
0.48,12.46,0.61
0.51,11.9,1.13
0.45,10.64,1.11
0.46,9.53,0.45
0.4,0.92,1.35
0.15,8.47,1.48
0.59,13.23,0.85
0.51,8.81,0.53
0.38,3.97,1.66
0.4,10.31,0.41
0.14,11.85,1.76
0.51,8.47,1.34
0.53,12.11,0.9
0.53,12.84,0.95
0.4,2.43,1.65
0.41,8.33,0.52
0.15,0.15,1.4
0.37,4.32,0.95
0.53,11.68,0.69
0.37,4.43,1.89
0.38,4.88,1.1
0.34,4.34,1.41
0.51,11.61,0.76
0.14,7.51,1.23
0.52,12.3,0.95
0.21,0.99,0.99
0.36,5.56,0.81
0.39,5.99,1.57
0.21,8.12,1.82
0.69,14.97,0.51
0.23,6.73,1.54
0.66,10.06,1.55
0.17,11.17,2.17
0.31,9.13,1.02
0.55,11.41,1.17
0.63,11.32,0.82
0.41,5.5,0.82
0.75,11.29,1.08
0.45,4.35,0.9
0.23,0.29,1.36
0.34,7.87,0.11
0.25,7.26,1.28
0.36,7.94,0.67
0.27,5.75,0.79
0.37,7.55,0.96
0.46,6.18,1.24
0.42,6.6,1.56
0.19,3.11,1
0.47,8.24,0.99
0.54,12.86,1.43
0.28,8.54,1.58
0.49,8.74,0.49
0.48,9.6,0.37
0.53,8.56,1.33
0.42,6.9,1.09
0.52,5.57,1.83
0.25,0.53,1.13
0.12,0.34,1.41
0.13,7.18,2.19
0.4,5.53,0.87
0.64,10.92,1.12
0.15,6.52,1.8
0.04,6.44,1.02
0.34,4,0.87
0.31,6.14,1.59
0.4,4.32,1.6
0.4,6.1,0.97
0.52,10.05,1.08
